iter	Passed	Remaining
421	1940	2658
422	1944	2652
423	1948	2647
424	1952	2642
425	1957	2637
426	1961	2632
427	1965	2627
428	1969	2621
429	1974	2617
430	1978	2611
431	1982	2606
432	1986	2601
433	1991	2596
434	1995	2592
435	1999	2586
436	2005	2583
437	2009	2578
438	2013	2572
439	2016	2567
440	2020	2561
441	2024	2556
442	2028	2550
443	2032	2545
444	2036	2540
445	2040	2534
446	2044	2529
447	2048	2524
448	2052	2519
449	2057	2514
450	2061	2509
451	2065	2503
452	2069	2498
453	2073	2493
454	2076	2487
455	2080	2482
456	2084	2477
457	2088	2471
458	2092	2466
459	2096	2461
460	2100	2455
461	2104	2450
462	2108	2445
463	2112	2440
464	2116	2435
465	2120	2430
466	2124	2424
467	2128	2419
468	2132	2414
469	2136	2408
470	2140	2403
471	2144	2398
472	2147	2393
473	2151	2387
474	2155	2382
475	2159	2377
476	2163	2372
477	2167	2367
478	2171	2362
479	2176	2357
480	2180	2352
481	2184	2347
482	2188	2342
483	2192	2337
484	2196	2331
485	2200	2327
486	2204	2322
487	2209	2317
488	2213	2312
489	2216	2307
490	2220	2302
491	2224	2297
492	2228	2292
493	2233	2287
494	2237	2282
495	2242	2278
496	2246	2273
497	2251	2269
498	2255	2264
499	2259	2259
500	2264	2255
501	2269	2251
502	2274	2246
503	2278	2242
504	2283	2238
505	2289	2234
506	2294	2231
507	2299	2226
508	2304	2222
509	2309	2218
510	2314	2214
511	2318	2210
512	2323	2205
513	2328	2201
514	2332	2196
515	2337	2192
516	2342	2188
517	2346	2183
518	2350	2178
519	2355	2174
520	2360	2170
521	2366	2167
522	2371	2162
523	2375	2158
524	2380	2153
525	2385	2149
526	2390	2145
527	2395	2141
528	2400	2137
529	2405	2132
530	2409	2128
531	2414	2124
532	2418	2119
533	2423	2115
534	2427	2109
535	2431	2104
536	2435	2100
537	2439	2094
538	2443	2090
539	2447	2084
540	2451	2079
541	2455	2074
542	2459	2069
543	2463	2064
544	2466	2059
545	2471	2054
546	2475	2050
547	2479	2045
548	2483	2040
549	2488	2035
550	2492	2031
551	2497	2026
552	2501	2021
553	2505	2017
554	2509	2012
555	2514	2007
556	2518	2003
557	2522	1998
558	2526	1993
559	2531	1989
560	2535	1984
561	2540	1979
562	2544	1974
563	2547	1969
564	2551	1964
565	2555	1959
566	2559	1954
567	2564	1950
568	2568	1945
569	2572	1940
570	2576	1935
571	2580	1931
572	2585	1926
573	2589	1921
574	2593	1916
575	2597	1912
576	2601	1907
577	2605	1902
578	2610	1898
579	2614	1893
580	2620	1889
581	2624	1885
582	2628	1880
583	2632	1875
584	2636	1870
585	2640	1865
586	2644	1860
587	2648	1855
588	2652	1850
589	2655	1845
590	2660	1840
591	2664	1836
592	2667	1831
593	2672	1826
594	2676	1821
595	2680	1816
596	2684	1811
597	2688	1807
598	2692	1802
599	2696	1797
600	2700	1792
601	2704	1788
602	2708	1783
603	2712	1778
604	2716	1773
605	2721	1769
606	2726	1765
607	2731	1761
608	2736	1756
609	2741	1752
610	2746	1748
611	2750	1743
612	2755	1739
613	2760	1735
614	2765	1731
615	2770	1726
616	2774	1722
617	2779	1718
618	2784	1713
619	2788	1709
620	2793	1704
621	2798	1700
622	2803	1696
623	2808	1692
624	2813	1688
625	2817	1683
626	2822	1679
627	2827	1674
628	2831	1670
629	2836	1666
630	2841	1661
631	2845	1657
632	2850	1652
633	2855	1648
634	2860	1644
635	2866	1640
636	2871	1636
637	2877	1632
638	2882	1628
639	2886	1623
640	2891	1619
641	2895	1614
642	2900	1610
643	2905	1605
644	2909	1601
645	2914	1597
646	2919	1592
647	2923	1588
648	2928	1583
649	2933	1579
650	2937	1574
651	2941	1570
652	2945	1565
653	2949	1560
654	2953	1555
655	2958	1551
656	2962	1546
657	2966	1541
658	2970	1537
659	2975	1532
660	2980	1528
661	2984	1523
662	2988	1519
663	2992	1514
664	2997	1509
665	3001	1505
666	3006	1500
667	3010	1496
668	3014	1491
669	3018	1486
670	3022	1482
671	3026	1477
672	3031	1472
673	3035	1468
674	3039	1463
675	3043	1458
676	3047	1454
677	3051	1449
678	3055	1444
679	3059	1439
680	3063	1434
681	3067	1430
682	3071	1425
683	3075	1420
684	3079	1416
685	3083	1411
686	3087	1406
687	3091	1401
688	3095	1397
689	3099	1392
690	3103	1387
691	3107	1383
692	3111	1378
693	3115	1373
694	3119	1369
695	3123	1364
696	3127	1359
697	3131	1354
698	3135	1350
699	3140	1345
700	3143	1340
701	3147	1336
702	3151	1331
703	3155	1326
704	3160	1322
705	3163	1317
706	3168	1312
707	3171	1308
708	3175	1303
709	3179	1298
710	3183	1293
711	3187	1289
712	3190	1284
713	3194	1279
714	3198	1275
715	3202	1270
716	3206	1265
717	3210	1261
718	3214	1256
719	3218	1251
720	3222	1246
721	3226	1242
722	3230	1237
723	3234	1233
724	3238	1228
725	3242	1223
726	3246	1219
727	3250	1214
728	3254	1209
729	3258	1205
730	3262	1200
731	3266	1195
732	3269	1191
733	3274	1186
734	3278	1181
735	3282	1177
736	3286	1172
737	3291	1168
738	3295	1163
739	3299	1159
740	3304	1154
741	3308	1150
742	3312	1145
743	3317	1141
744	3321	1137
745	3326	1132
746	3330	1127
747	3334	1123
748	3341	1119
749	3347	1115
750	3353	1111
751	3359	1108
752	3365	1103
753	3371	1099
754	3377	1095
755	3382	1091
756	3386	1087
757	3391	1082
758	3396	1078
759	3400	1073
760	3405	1069
761	3410	1065
762	3415	1060
763	3419	1056
764	3423	1051
765	3427	1047
766	3431	1042
767	3436	1038
768	3441	1033
769	3446	1029
770	3450	1025
771	3456	1020
772	3460	1016
773	3465	1011
774	3470	1007
775	3476	1003
776	3481	999
777	3486	994
778	3490	990
779	3495	985
780	3500	981
781	3504	977
782	3509	972
783	3513	968
784	3519	963
785	3523	959
786	3528	955
787	3533	950
788	3539	946
789	3544	942
790	3549	937
791	3553	933
792	3559	929
793	3563	924
794	3567	919
795	3572	915
796	3576	911
797	3581	906
798	3586	902
799	3591	897
800	3596	893
801	3600	888
802	3605	884
803	3610	880
804	3614	875
805	3618	871
806	3622	866
807	3626	861
808	3630	857
809	3634	852
810	3638	847
811	3642	843
812	3646	838
813	3650	834
814	3655	829
815	3658	825
816	3663	820
817	3667	815
818	3671	811
819	3674	806
820	3678	802
821	3682	797
822	3686	792
823	3690	788
824	3694	783
825	3698	779
826	3702	774
827	3706	769
828	3710	765
829	3714	760
830	3718	756
831	3722	751
832	3726	747
833	3731	742
834	3734	738
835	3738	733
836	3742	728
837	3746	724
838	3750	719
839	3755	715
840	3759	710
841	3763	706
842	3766	701
843	3771	697
844	3775	692
845	3779	687
846	3783	683
847	3787	678
848	3791	674
849	3795	669
850	3799	665
851	3803	660
852	3807	656
853	3811	651
854	3815	647
855	3819	642
856	3822	637
857	3826	633
858	3831	628
859	3835	624
860	3839	619
861	3843	615
862	3847	610
863	3852	606
864	3856	601
865	3860	597
866	3864	592
867	3868	588
868	3872	583
869	3876	579
870	3880	574
871	3883	570
872	3887	565
873	3891	561
874	3895	556
875	3899	551
876	3903	547
877	3907	543
878	3912	538
879	3916	534
880	3920	529
881	3924	525
882	3928	520
883	3932	516
884	3936	511
885	3941	507
886	3945	502
887	3950	498
888	3954	493
889	3958	489
890	3963	484
891	3967	480
892	3971	475
893	3975	471
894	3980	466
895	3984	462
896	3988	457
897	3991	453
898	3995	448
899	3999	444
900	4003	439
901	4007	435
902	4012	431
903	4016	426
904	4020	422
905	4024	417
906	4028	413
907	4032	408
908	4036	404
909	4040	399
910	4044	395
911	4048	390
912	4052	386
913	4056	381
914	4060	377
915	4064	372
916	4068	368
917	4072	363
918	4076	359
919	4080	354
920	4084	350
921	4101	347
922	4105	342
923	4109	338
924	4113	333
925	4117	329
926	4121	324
927	4125	320
928	4129	315
929	4133	311
930	4137	306
931	4140	302
932	4144	297
933	4148	293
934	4152	288
935	4157	284
936	4161	279
937	4165	275
938	4169	270
939	4173	266
940	4177	261
941	4181	257
942	4185	252
943	4188	248
944	4192	244
945	4196	239
946	4200	235
947	4204	230
948	4209	226
949	4213	221
950	4217	217
951	4221	212
952	4225	208
953	4229	203
954	4233	199
955	4237	195
956	4241	190
957	4245	186
958	4249	181
959	4253	177
960	4257	172
961	4261	168
962	4265	163
963	4268	159
964	4273	154
965	4277	150
966	4281	146
967	4285	141
968	4289	137
969	4293	132
970	4297	128
971	4301	123
