name,home,away
Ball possession,67%,33%
Total shots,27,6
Shots on target,9,1
Shots off target,14,5
Blocked shots,4,0
Corner kicks,8,4
Offsides,3,2
Fouls,8,9
Yellow cards,0,2
Free kicks,6,6
Throw-ins,20,21
Goal kicks,5,12
Big chances,4,0
Big chances missed,2,0
Hit woodwork,1,1
Counter attacks,1,0
Counter attack shots,1,0
Counter attack goals,1,0
Shots inside box,20,4
Shots outside box,7,2
Goalkeeper saves,1,7
Passes,631,302
Accurate passes,555 (88%),222 (74%)
Long balls,46/63 (73%),26/60 (43%)
Crosses,10/22 (45%),0/10 (0%)
Dribbles,13/14 (93%),6/19 (32%)
Possession lost,130,132
Duels won,50,29
Aerials won,12,3
Tackles,19,14
Interceptions,8,13
Clearances,9,26
Ball possession,68%,32%
Total shots,13,0
Shots on target,3,0
Shots off target,7,0
Blocked shots,3,0
Corner kicks,3,1
Offsides,1,1
Yellow cards,0,2
Free kicks,4,2
Throw-ins,13,10
Goal kicks,0,8
Big chances,1,0
Big chances missed,1,0
Hit woodwork,1,0
Counter attacks,0,0
Counter attack shots,0,0
Counter attack goals,0,0
Shots inside box,9,0
Shots outside box,4,0
Goalkeeper saves,0,3
Passes,317,151
Accurate passes,276 (87%),105 (70%)
Long balls,24/33 (73%),9/30 (30%)
Crosses,8/14 (57%),0/4 (0%)
Dribbles,7/8 (88%),1/5 (20%)
Possession lost,66,71
Duels won,24,10
Aerials won,7,2
Tackles,6,5
Interceptions,3,7
Clearances,1,19
Ball possession,67%,33%
Total shots,14,6
Shots on target,6,1
Shots off target,7,5
Blocked shots,1,0
Corner kicks,5,3
Offsides,2,1
Yellow cards,0,0
Free kicks,2,4
Throw-ins,7,11
Goal kicks,5,4
Big chances,3,0
Big chances missed,1,0
Hit woodwork,0,1
Counter attacks,1,0
Counter attack shots,1,0
Counter attack goals,1,0
Shots inside box,11,4
Shots outside box,3,2
Goalkeeper saves,1,4
Passes,314,151
Accurate passes,279 (89%),117 (77%)
Long balls,22/30 (73%),17/30 (57%)
Crosses,2/8 (25%),0/6 (0%)
Dribbles,6/6 (100%),5/14 (36%)
Possession lost,64,61
Duels won,26,19
Aerials won,5,1
Tackles,13,9
Interceptions,5,6
Clearances,8,7
