name,home,away
Ball possession,67%,33%
Total shots,8,6
Shots on target,2,1
Shots off target,4,3
Blocked shots,2,2
Corner kicks,3,5
Offsides,2,3
Fouls,17,17
Yellow cards,2,5
Red cards,0,2
Free kicks,14,17
Throw-ins,23,20
Goal kicks,6,11
Big chances,3,0
Big chances missed,2,0
Shots inside box,4,2
Shots outside box,4,4
Goalkeeper saves,1,1
Passes,587,278
Accurate passes,503 (86%),192 (69%)
Long balls,34/65 (52%),30/75 (40%)
Crosses,3/11 (27%),3/17 (18%)
Dribbles,9/15 (60%),6/6 (100%)
Possession lost,134,128
Duels won,41,55
Aerials won,11,10
Tackles,7,22
Interceptions,6,15
Clearances,16,14
Ball possession,67%,33%
Total shots,3,3
Shots on target,0,0
Shots off target,2,2
Blocked shots,1,1
Corner kicks,0,3
Offsides,1,2
Yellow cards,0,0
Red cards,0,0
Free kicks,5,8
Throw-ins,12,9
Goal kicks,3,6
Big chances,0,0
Big chances missed,0,0
Shots inside box,1,2
Shots outside box,2,1
Goalkeeper saves,0,0
Passes,324,160
Accurate passes,278 (86%),110 (69%)
Long balls,14/28 (50%),18/46 (39%)
Crosses,2/3 (67%),1/5 (20%)
Dribbles,5/9 (56%),2/2 (100%)
Possession lost,72,69
Duels won,20,31
Aerials won,5,5
Tackles,5,16
Interceptions,4,8
Clearances,6,3
Ball possession,67%,33%
Total shots,5,3
Shots on target,2,1
Shots off target,2,1
Blocked shots,1,1
Corner kicks,3,2
Offsides,1,1
Yellow cards,2,5
Red cards,0,2
Free kicks,9,9
Throw-ins,11,11
Goal kicks,3,5
Big chances,3,0
Big chances missed,2,0
Shots inside box,3,0
Shots outside box,2,3
Goalkeeper saves,1,1
Passes,263,118
Accurate passes,225 (86%),82 (69%)
Long balls,20/37 (54%),12/29 (41%)
Crosses,1/8 (13%),2/12 (17%)
Dribbles,4/6 (67%),4/4 (100%)
Possession lost,62,59
Duels won,21,24
Aerials won,6,5
Tackles,2,6
Interceptions,2,7
Clearances,10,11
