name,home,away
Ball possession,36%,64%
Total shots,19,16
Shots on target,10,4
Shots off target,5,10
Blocked shots,4,2
Corner kicks,3,6
Offsides,1,1
Fouls,21,16
Yellow cards,3,4
Free kicks,15,21
Throw-ins,16,26
Goal kicks,12,6
Big chances,4,1
Big chances missed,2,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,15,14
Shots outside box,4,2
Goalkeeper saves,3,6
Passes,271,468
Accurate passes,167 (62%),345 (74%)
Long balls,24/69 (35%),29/66 (44%)
Crosses,3/14 (21%),12/32 (38%)
Dribbles,11/17 (65%),13/18 (72%)
Possession lost,157,188
Duels won,65,72
Aerials won,23,23
Tackles,16,15
Interceptions,12,8
Clearances,19,16
Ball possession,40%,60%
Total shots,13,10
Shots on target,7,4
Shots off target,4,4
Blocked shots,2,2
Corner kicks,3,3
Offsides,0,1
Yellow cards,2,3
Free kicks,9,9
Throw-ins,5,8
Goal kicks,4,5
Big chances,4,1
Big chances missed,2,0
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,11,9
Shots outside box,2,1
Goalkeeper saves,3,4
Passes,142,219
Accurate passes,97 (68%),167 (76%)
Long balls,14/29 (48%),9/26 (35%)
Crosses,3/12 (25%),7/12 (58%)
Dribbles,2/4 (50%),11/12 (92%)
Possession lost,69,74
Duels won,27,34
Aerials won,10,9
Tackles,6,5
Interceptions,2,3
Clearances,10,11
Ball possession,32%,68%
Total shots,6,6
Shots on target,3,0
Shots off target,1,6
Blocked shots,2,0
Corner kicks,0,3
Offsides,1,0
Yellow cards,1,1
Free kicks,6,12
Throw-ins,11,18
Goal kicks,8,1
Big chances,0,0
Big chances missed,0,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,4,5
Shots outside box,2,1
Goalkeeper saves,0,2
Passes,129,249
Accurate passes,70 (54%),178 (71%)
Long balls,10/40 (25%),20/40 (50%)
Crosses,0/2 (0%),5/20 (25%)
Dribbles,9/13 (69%),2/6 (33%)
Possession lost,88,114
Duels won,38,38
Aerials won,13,14
Tackles,10,10
Interceptions,10,5
Clearances,9,5
