name,home,away
Ball possession,51%,49%
Total shots,7,13
Shots on target,3,3
Shots off target,3,8
Blocked shots,1,2
Corner kicks,3,7
Offsides,0,1
Fouls,18,12
Yellow cards,5,7
Free kicks,12,18
Throw-ins,23,20
Goal kicks,11,8
Big chances,2,0
Big chances missed,1,0
Shots inside box,3,7
Shots outside box,4,6
Goalkeeper saves,3,2
Passes,314,297
Accurate passes,227 (72%),213 (72%)
Long balls,33/82 (40%),20/61 (33%)
Crosses,1/17 (6%),3/24 (13%)
Dribbles,3/9 (33%),3/12 (25%)
Possession lost,139,138
Duels won,44,40
Aerials won,10,5
Tackles,19,14
Interceptions,8,7
Clearances,24,18
Ball possession,61%,39%
Total shots,1,6
Shots on target,1,3
Shots off target,0,3
Blocked shots,0,0
Corner kicks,0,3
Offsides,0,0
Yellow cards,1,3
Free kicks,9,6
Throw-ins,9,9
Goal kicks,6,3
Big chances,1,0
Big chances missed,0,0
Shots inside box,1,3
Shots outside box,0,3
Goalkeeper saves,3,0
Passes,180,116
Accurate passes,136 (76%),79 (68%)
Long balls,24/48 (50%),5/29 (17%)
Crosses,0/7 (0%),2/6 (33%)
Dribbles,1/4 (25%),0/5 (0%)
Possession lost,65,56
Duels won,25,16
Aerials won,5,4
Tackles,10,6
Interceptions,2,3
Clearances,2,9
Ball possession,42%,58%
Total shots,6,7
Shots on target,2,0
Shots off target,3,5
Blocked shots,1,2
Corner kicks,3,4
Offsides,0,1
Yellow cards,4,4
Free kicks,3,12
Throw-ins,14,11
Goal kicks,5,5
Big chances,1,0
Big chances missed,1,0
Shots inside box,2,4
Shots outside box,4,3
Goalkeeper saves,0,2
Passes,134,181
Accurate passes,91 (68%),134 (74%)
Long balls,9/34 (26%),15/32 (47%)
Crosses,1/10 (10%),1/18 (6%)
Dribbles,2/5 (40%),3/7 (43%)
Possession lost,74,82
Duels won,19,24
Aerials won,5,1
Tackles,9,8
Interceptions,6,4
Clearances,22,9
