name,home,away
Expected goals,1.05,1.37
Ball possession,67%,33%
Total shots,18,10
Shots on target,7,2
Shots off target,7,8
Blocked shots,4,0
Corner kicks,5,0
Offsides,1,3
Fouls,14,17
Yellow cards,2,6
Free kicks,15,14
Throw-ins,35,19
Goal kicks,11,7
Big chances,2,1
Big chances missed,2,1
Hit woodwork,1,0
Shots inside box,8,5
Shots outside box,10,5
Goalkeeper saves,2,5
Passes,542,278
Accurate passes,445 (82%),191 (69%)
Long balls,23/48 (48%),22/53 (42%)
Crosses,6/24 (25%),3/5 (60%)
Dribbles,12/20 (60%),7/12 (58%)
Possession lost,153,126
Duels won,54,56
Aerials won,16,16
Tackles,11,19
Interceptions,13,8
Clearances,8,26
Ball possession,65%,35%
Total shots,12,4
Shots on target,6,1
Shots off target,4,3
Blocked shots,2,0
Corner kicks,3,0
Offsides,0,2
Yellow cards,1,2
Free kicks,10,3
Throw-ins,11,13
Goal kicks,4,4
Big chances,1,1
Big chances missed,1,1
Hit woodwork,1,0
Shots inside box,6,3
Shots outside box,6,1
Goalkeeper saves,1,4
Passes,267,148
Accurate passes,213 (80%),108 (73%)
Long balls,11/25 (44%),13/30 (43%)
Crosses,3/15 (20%),1/3 (33%)
Dribbles,5/8 (63%),4/8 (50%)
Possession lost,79,61
Duels won,31,20
Aerials won,10,6
Tackles,6,7
Interceptions,7,4
Clearances,3,18
Ball possession,68%,32%
Total shots,6,6
Shots on target,1,1
Shots off target,3,5
Blocked shots,2,0
Corner kicks,2,0
Offsides,1,1
Yellow cards,1,4
Free kicks,5,11
Throw-ins,24,6
Goal kicks,7,3
Big chances,1,0
Big chances missed,1,0
Hit woodwork,0,0
Shots inside box,2,2
Shots outside box,4,4
Goalkeeper saves,1,1
Passes,275,130
Accurate passes,232 (84%),83 (64%)
Long balls,12/23 (52%),9/23 (39%)
Crosses,3/9 (33%),2/2 (100%)
Dribbles,7/12 (58%),3/4 (75%)
Possession lost,74,65
Duels won,23,36
Aerials won,6,10
Tackles,5,12
Interceptions,6,4
Clearances,5,8
