name,home,away
Ball possession,75%,25%
Total shots,21,7
Shots on target,11,2
Shots off target,7,4
Blocked shots,3,1
Corner kicks,7,3
Offsides,0,1
Fouls,17,5
Yellow cards,2,1
Free kicks,4,17
Throw-ins,17,18
Goal kicks,6,12
Big chances,3,1
Big chances missed,2,1
Shots inside box,16,5
Shots outside box,5,2
Goalkeeper saves,2,10
Passes,650,224
Accurate passes,559 (86%),128 (57%)
Long balls,34/54 (63%),17/65 (26%)
Crosses,13/32 (41%),0/5 (0%)
Dribbles,11/20 (55%),15/22 (68%)
Possession lost,146,150
Duels won,57,58
Aerials won,22,9
Tackles,20,17
Interceptions,11,10
Clearances,7,23
Ball possession,72%,28%
Total shots,9,3
Shots on target,5,0
Shots off target,3,2
Blocked shots,1,1
Corner kicks,3,2
Offsides,0,0
Yellow cards,1,1
Free kicks,2,12
Throw-ins,12,6
Goal kicks,4,4
Big chances,3,0
Big chances missed,2,0
Shots inside box,7,3
Shots outside box,2,0
Goalkeeper saves,0,4
Passes,307,124
Accurate passes,266 (87%),78 (63%)
Long balls,15/24 (63%),8/30 (27%)
Crosses,6/14 (43%),0/3 (0%)
Dribbles,4/12 (33%),8/9 (89%)
Possession lost,76,65
Duels won,20,40
Aerials won,9,5
Tackles,5,15
Interceptions,5,6
Clearances,2,12
Ball possession,78%,22%
Total shots,12,4
Shots on target,6,2
Shots off target,4,2
Blocked shots,2,0
Corner kicks,4,1
Offsides,0,1
Yellow cards,1,0
Free kicks,2,5
Throw-ins,5,12
Goal kicks,2,8
Big chances,0,1
Big chances missed,0,1
Shots inside box,9,2
Shots outside box,3,2
Goalkeeper saves,2,6
Passes,343,100
Accurate passes,293 (85%),50 (50%)
Long balls,19/30 (63%),9/35 (26%)
Crosses,7/18 (39%),0/2 (0%)
Dribbles,7/8 (88%),7/13 (54%)
Possession lost,70,85
Duels won,37,18
Aerials won,13,4
Tackles,15,2
Interceptions,6,4
Clearances,5,11
