name,home,away
Expected goals,0.60,2.24
Expected assists,0.79,0.97
Ball possession,55%,45%
Total shots,12,17
Shots on target,2,3
Shots off target,6,8
Blocked shots,4,6
Corner kicks,5,5
Offsides,0,1
Fouls,11,6
Yellow cards,2,0
Free kicks,5,8
Throw-ins,18,17
Goal kicks,11,13
Big chances,0,1
Big chances missed,0,1
Hit woodwork,0,2
Shots inside box,2,12
Shots outside box,10,5
Goalkeeper saves,2,1
Goals prevented,0.08,-0.53
Passes,512,392
Accurate passes,435 (85%),316 (81%)
Long balls,23/50 (46%),28/51 (55%)
Crosses,2/13 (15%),11/28 (39%)
Dribbles,9/15 (60%),7/16 (44%)
Possession lost,125,135
Duels won,35,40
Aerials won,8,16
Tackles,13,9
Interceptions,6,14
Clearances,17,20
Expected goals,0.22,1.32
Expected assists,0.52,0.49
Ball possession,64%,36%
Total shots,5,6
Shots on target,0,1
Shots off target,3,3
Blocked shots,2,2
Corner kicks,2,1
Offsides,0,1
Yellow cards,2,0
Free kicks,1,7
Throw-ins,9,7
Goal kicks,4,7
Big chances,0,1
Big chances missed,0,1
Hit woodwork,0,1
Shots inside box,1,5
Shots outside box,4,1
Goalkeeper saves,1,0
Passes,302,170
Accurate passes,264 (87%),133 (78%)
Long balls,10/19 (53%),10/21 (48%)
Crosses,0/8 (0%),4/7 (57%)
Dribbles,6/8 (75%),4/10 (40%)
Possession lost,64,64
Duels won,17,22
Aerials won,2,7
Tackles,8,4
Interceptions,3,8
Clearances,4,11
Expected goals,0.37,0.92
Expected assists,0.28,0.47
Ball possession,47%,53%
Total shots,7,11
Shots on target,2,2
Shots off target,3,5
Blocked shots,2,4
Corner kicks,3,4
Offsides,0,0
Yellow cards,0,0
Free kicks,4,1
Throw-ins,9,10
Goal kicks,7,6
Big chances,0,0
Big chances missed,0,0
Hit woodwork,0,1
Shots inside box,1,7
Shots outside box,6,4
Goalkeeper saves,1,1
Passes,210,222
Accurate passes,171 (81%),183 (82%)
Long balls,13/31 (42%),18/30 (60%)
Crosses,2/5 (40%),7/21 (33%)
Dribbles,3/7 (43%),3/6 (50%)
Possession lost,61,71
Duels won,18,18
Aerials won,6,9
Tackles,5,5
Interceptions,3,6
Clearances,13,9
