name,home,away
Ball possession,51%,49%
Total shots,9,12
Shots on target,3,7
Shots off target,4,4
Blocked shots,2,1
Corner kicks,2,4
Offsides,2,1
Fouls,18,14
Yellow cards,4,3
Red cards,1,0
Free kicks,12,17
Throw-ins,14,16
Goal kicks,4,8
Big chances,3,4
Big chances missed,1,2
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,8,9
Shots outside box,1,3
Goalkeeper saves,5,1
Passes,463,430
Accurate passes,397 (86%),366 (85%)
Long balls,26/56 (46%),25/46 (54%)
Crosses,2/5 (40%),1/12 (8%)
Dribbles,10/21 (48%),14/18 (78%)
Possession lost,96,100
Duels won,36,49
Aerials won,5,3
Tackles,9,15
Interceptions,6,8
Clearances,17,8
Ball possession,52%,48%
Total shots,3,5
Shots on target,0,3
Shots off target,2,2
Blocked shots,1,0
Corner kicks,1,1
Offsides,2,0
Yellow cards,2,1
Red cards,0,0
Free kicks,4,9
Throw-ins,5,8
Goal kicks,2,3
Big chances,0,1
Big chances missed,0,0
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,2,3
Shots outside box,1,2
Goalkeeper saves,2,0
Passes,263,245
Accurate passes,229 (87%),210 (86%)
Long balls,16/29 (55%),9/24 (38%)
Crosses,2/3 (67%),1/4 (25%)
Dribbles,2/5 (40%),4/6 (67%)
Possession lost,48,50
Duels won,12,21
Aerials won,2,1
Tackles,4,7
Interceptions,3,4
Clearances,7,5
Ball possession,51%,49%
Total shots,6,7
Shots on target,3,4
Shots off target,2,2
Blocked shots,1,1
Corner kicks,1,3
Offsides,0,1
Yellow cards,2,2
Red cards,1,0
Free kicks,8,8
Throw-ins,9,8
Goal kicks,2,5
Big chances,3,3
Big chances missed,1,2
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,6,6
Shots outside box,0,1
Goalkeeper saves,3,1
Passes,200,185
Accurate passes,168 (84%),156 (84%)
Long balls,10/27 (37%),16/22 (73%)
Crosses,0/2 (0%),0/8 (0%)
Dribbles,8/16 (50%),10/12 (83%)
Possession lost,48,50
Duels won,24,28
Aerials won,3,2
Tackles,5,8
Interceptions,3,4
Clearances,10,3
