name,home,away
Ball possession,48%,52%
Total shots,8,9
Shots on target,3,2
Shots off target,3,6
Blocked shots,2,1
Corner kicks,2,2
Offsides,3,3
Fouls,10,14
Yellow cards,1,4
Free kicks,13,10
Throw-ins,24,15
Goal kicks,14,4
Big chances,1,2
Big chances missed,1,1
Hit woodwork,0,1
Counter attacks,0,3
Counter attack shots,0,2
Counter attack goals,0,1
Shots inside box,5,4
Shots outside box,3,5
Goalkeeper saves,0,3
Passes,435,477
Accurate passes,359 (83%),403 (84%)
Long balls,27/54 (50%),27/59 (46%)
Crosses,1/6 (17%),0/8 (0%)
Dribbles,9/18 (50%),11/18 (61%)
Possession lost,126,112
Duels won,39,43
Aerials won,8,2
Tackles,9,21
Interceptions,5,10
Clearances,10,12
Ball possession,48%,52%
Total shots,3,5
Shots on target,1,0
Shots off target,1,5
Blocked shots,1,0
Corner kicks,1,0
Offsides,2,1
Yellow cards,0,1
Free kicks,6,4
Throw-ins,8,7
Goal kicks,11,2
Big chances,0,1
Big chances missed,0,1
Hit woodwork,0,1
Counter attacks,0,1
Counter attack shots,0,1
Counter attack goals,0,0
Shots inside box,1,2
Shots outside box,2,3
Goalkeeper saves,0,1
Passes,218,241
Accurate passes,182 (83%),207 (86%)
Long balls,15/28 (54%),12/30 (40%)
Crosses,1/3 (33%),0/3 (0%)
Dribbles,1/3 (33%),7/12 (58%)
Possession lost,56,51
Duels won,17,18
Aerials won,3,1
Tackles,7,7
Interceptions,2,5
Clearances,6,5
Ball possession,48%,52%
Total shots,5,4
Shots on target,2,2
Shots off target,2,1
Blocked shots,1,1
Corner kicks,1,2
Offsides,1,2
Yellow cards,1,3
Free kicks,7,6
Throw-ins,16,8
Goal kicks,3,2
Big chances,1,1
Big chances missed,1,0
Hit woodwork,0,0
Counter attacks,0,2
Counter attack shots,0,1
Counter attack goals,0,1
Shots inside box,4,2
Shots outside box,1,2
Goalkeeper saves,0,2
Passes,217,236
Accurate passes,177 (82%),196 (83%)
Long balls,12/26 (46%),15/29 (52%)
Crosses,0/3 (0%),0/5 (0%)
Dribbles,8/15 (53%),4/6 (67%)
Possession lost,70,61
Duels won,22,25
Aerials won,5,1
Tackles,2,14
Interceptions,3,5
Clearances,4,7
