name,home,away
Ball possession,66%,34%
Total shots,12,11
Shots on target,3,1
Shots off target,6,7
Blocked shots,3,3
Corner kicks,3,3
Offsides,0,5
Fouls,14,17
Yellow cards,1,7
Red cards,0,2
Free kicks,17,13
Throw-ins,18,15
Goal kicks,7,10
Big chances,3,0
Big chances missed,2,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,5,5
Shots outside box,7,6
Goalkeeper saves,1,1
Passes,543,270
Accurate passes,486 (90%),200 (74%)
Long balls,30/50 (60%),15/50 (30%)
Crosses,4/18 (22%),2/15 (13%)
Dribbles,6/13 (46%),4/9 (44%)
Possession lost,107,120
Duels won,55,37
Aerials won,17,8
Tackles,15,12
Interceptions,8,8
Clearances,13,11
Ball possession,59%,41%
Total shots,4,9
Shots on target,1,1
Shots off target,2,5
Blocked shots,1,3
Corner kicks,3,1
Offsides,0,3
Yellow cards,1,4
Red cards,0,1
Free kicks,11,6
Throw-ins,12,9
Goal kicks,6,3
Big chances,1,0
Big chances missed,1,0
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,2,3
Shots outside box,2,6
Goalkeeper saves,1,1
Passes,198,135
Accurate passes,158 (80%),96 (71%)
Long balls,11/28 (39%),10/26 (38%)
Crosses,3/9 (33%),1/8 (13%)
Dribbles,1/5 (20%),4/5 (80%)
Possession lost,67,63
Duels won,29,21
Aerials won,10,5
Tackles,7,6
Interceptions,3,4
Clearances,7,7
Ball possession,71%,29%
Total shots,8,2
Shots on target,2,0
Shots off target,4,2
Blocked shots,2,0
Corner kicks,0,2
Offsides,0,2
Yellow cards,0,3
Red cards,0,1
Free kicks,6,7
Throw-ins,6,6
Goal kicks,1,7
Big chances,2,0
Big chances missed,1,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,3,2
Shots outside box,5,0
Goalkeeper saves,0,0
Passes,345,135
Accurate passes,328 (95%),104 (77%)
Long balls,19/22 (86%),5/24 (21%)
Crosses,1/9 (11%),1/7 (14%)
Dribbles,5/8 (63%),0/4 (0%)
Possession lost,40,57
Duels won,26,16
Aerials won,7,3
Tackles,8,6
Interceptions,5,4
Clearances,6,4
