name,home,away
Ball possession,37%,63%
Total shots,19,10
Shots on target,11,3
Shots off target,4,4
Blocked shots,4,3
Corner kicks,8,6
Offsides,0,2
Fouls,8,8
Yellow cards,1,2
Free kicks,8,8
Throw-ins,24,25
Goal kicks,6,6
Big chances,2,1
Big chances missed,2,1
Hit woodwork,0,1
Counter attacks,3,0
Counter attack shots,3,0
Shots inside box,9,6
Shots outside box,10,4
Goalkeeper saves,3,8
Passes,296,512
Accurate passes,211 (71%),432 (84%)
Long balls,19/50 (38%),61/81 (75%)
Crosses,7/17 (41%),4/19 (21%)
Dribbles,12/24 (50%),16/28 (57%)
Possession lost,139,151
Duels won,58,55
Aerials won,20,10
Tackles,18,21
Interceptions,4,10
Clearances,17,14
Ball possession,36%,64%
Total shots,8,4
Shots on target,6,0
Shots off target,0,1
Blocked shots,2,3
Corner kicks,6,2
Offsides,0,1
Yellow cards,0,0
Free kicks,4,2
Throw-ins,13,11
Goal kicks,3,1
Big chances,1,0
Big chances missed,1,0
Hit woodwork,0,0
Counter attacks,2,0
Counter attack shots,2,0
Shots inside box,5,2
Shots outside box,3,2
Goalkeeper saves,0,4
Passes,147,268
Accurate passes,106 (72%),228 (85%)
Long balls,8/23 (35%),35/43 (81%)
Crosses,6/11 (55%),1/4 (25%)
Dribbles,3/7 (43%),10/18 (56%)
Possession lost,68,74
Duels won,28,26
Aerials won,8,6
Tackles,13,8
Interceptions,2,4
Clearances,7,6
Ball possession,38%,62%
Total shots,11,6
Shots on target,5,3
Shots off target,4,3
Blocked shots,2,0
Corner kicks,2,4
Offsides,0,1
Yellow cards,1,2
Free kicks,4,6
Throw-ins,11,14
Goal kicks,3,5
Big chances,1,1
Big chances missed,1,1
Hit woodwork,0,1
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,4,4
Shots outside box,7,2
Goalkeeper saves,3,4
Passes,149,244
Accurate passes,105 (70%),204 (84%)
Long balls,11/27 (41%),26/38 (68%)
Crosses,1/6 (17%),3/15 (20%)
Dribbles,9/17 (53%),6/10 (60%)
Possession lost,71,77
Duels won,30,29
Aerials won,12,4
Tackles,5,13
Interceptions,2,6
Clearances,10,8
