name,home,away
Ball possession,45%,55%
Total shots,13,2
Shots on target,6,1
Shots off target,3,0
Blocked shots,4,1
Corner kicks,9,3
Offsides,1,1
Fouls,14,12
Yellow cards,2,3
Free kicks,12,14
Throw-ins,31,24
Goal kicks,3,9
Big chances,2,0
Shots inside box,7,0
Shots outside box,6,2
Goalkeeper saves,1,4
Passes,292,377
Accurate passes,187 (64%),261 (69%)
Long balls,17/61 (28%),30/73 (41%)
Crosses,11/23 (48%),1/10 (10%)
Dribbles,13/27 (48%),19/32 (59%)
Possession lost,186,177
Duels won,70,85
Aerials won,18,26
Tackles,27,26
Interceptions,14,9
Clearances,14,18
Ball possession,41%,59%
Total shots,6,1
Shots on target,3,0
Shots off target,2,0
Blocked shots,1,1
Corner kicks,5,2
Offsides,1,1
Yellow cards,0,1
Free kicks,6,6
Throw-ins,15,11
Goal kicks,1,6
Big chances,1,0
Shots inside box,3,0
Shots outside box,3,1
Goalkeeper saves,0,2
Passes,121,179
Accurate passes,72 (60%),126 (70%)
Long balls,10/33 (30%),14/38 (37%)
Crosses,5/8 (63%),0/6 (0%)
Dribbles,6/13 (46%),11/16 (69%)
Possession lost,89,83
Duels won,30,40
Aerials won,8,9
Tackles,10,14
Interceptions,5,4
Clearances,7,8
Ball possession,47%,53%
Total shots,7,1
Shots on target,3,1
Shots off target,1,0
Blocked shots,3,0
Corner kicks,4,1
Offsides,0,0
Yellow cards,2,2
Free kicks,6,8
Throw-ins,16,13
Goal kicks,2,3
Big chances,1,0
Shots inside box,4,0
Shots outside box,3,1
Goalkeeper saves,1,2
Passes,171,198
Accurate passes,115 (67%),135 (68%)
Long balls,7/28 (25%),16/35 (46%)
Crosses,6/15 (40%),1/4 (25%)
Dribbles,7/14 (50%),8/16 (50%)
Possession lost,97,94
Duels won,40,45
Aerials won,10,17
Tackles,17,12
Interceptions,9,5
Clearances,7,10
