winnerCode,coverage,crowdsourcingDataDisplayEnabled,startTimestamp,tournament.name,tournament.category.name,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.flag,roundInfo.round,status.description,status.type,homeTeam.name,homeTeam.shortName,homeTeam.gender,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.country.alpha2,awayTeam.country.name,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changeTimestamp,time.injuryTime1,time.injuryTime2,isAwarded,awayRedCards
1,,False,1662048000,"World Championship Qualification, Women, UEFA Group E",Europe,europe,World Championship Women Qual.,Europe,Football,europe,1,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,Montenegro,montenegro,Montenegro,F,1281,MNE,True,ME,Montenegro,5.0,5.0,2.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,1662051780.0,1662054917,,,,
0,,False,1662480000,"World Championship Qualification, Women, UEFA Group E",Europe,europe,World Championship Women Qual.,Europe,Football,europe,1,Canceled,canceled,Russia,Russia,F,1,1261,RUS,True,32486,RU,Russia,[],#ffffff,Denmark,denmark,Denmark,F,7114,DEN,True,DK,Denmark,,,,,,,,,,,,1652270555,,,True,
2,,False,1665504000,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,Australia,australia,Australia,F,5899,AUS,True,AU,Australia,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,1665507720.0,1665510709,,,,
2,,False,1668189600,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1,Ended,finished,Switzerland,Switzerland,F,1,5675,SUI,True,38103,CH,Switzerland,[],#ffffff,Denmark,denmark,Denmark,F,7114,DEN,True,DK,Denmark,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1668196610.0,1668196614,1.0,3.0,,
1,,False,1668538800,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1,Ended,finished,Netherlands,Netherlands,F,1,15597,NED,True,32484,NL,Netherlands,[],#281fe0,Denmark,denmark,Denmark,F,7114,DEN,True,DK,Denmark,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1668545407.0,1668545411,,2.0,,
1,,False,1676491800,"Tournoi de France, Women",World,international,"Tournoi de France, Women",World,Football,international,1,Ended,finished,France,France,F,1,21025,FRA,True,32485,FR,France,[],#e30613,Denmark,denmark,Denmark,F,7114,DEN,True,DK,Denmark,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1676495580.0,1676498450,,,,
1,,False,1676739600,"Tournoi de France, Women",World,international,"Tournoi de France, Women",World,Football,international,2,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,Norway,norway,Norway,F,6074,NOR,True,NO,Norway,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1676743500.0,1676746423,,,,
1,,False,1676998800,"Tournoi de France, Women",World,international,"Tournoi de France, Women",World,Football,international,3,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,Uruguay,uruguay,Uruguay,F,1426,URU,True,UY,Uruguay,3.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1677002580.0,1677005692,,,,
2,,False,1680872400,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1,Ended,finished,Sweden,Sweden,F,1,10626,SWE,True,7423,SE,Sweden,[],#0000ff,Denmark,denmark,Denmark,F,7114,DEN,True,DK,Denmark,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1680879075.0,1680879525,,,,
1,,False,1681228800,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,Japan,japan,Japan,F,5511,JPN,True,JP,Japan,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1681232580.0,1681235707,,,,
2,,False,1688572800,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,Spain,spain,Spain,F,15956,ESP,True,ES,Spain,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1688576702.0,1688579658,1.0,4.0,,
1,,False,1690027200,"World Championship, Women, Group D",World,international,World Championship Women,World,Football,international,1,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,China,china,China,F,3093,CHN,True,CN,China,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1690034078.0,1690034081,2.0,6.0,,
