name,home,away
Ball possession,51%,49%
Total shots,8,8
Shots on target,4,3
Shots off target,2,2
Blocked shots,2,3
Corner kicks,2,5
Offsides,1,3
Fouls,12,14
Yellow cards,2,2
Free kicks,14,11
Throw-ins,28,24
Goal kicks,8,5
Big chances,1,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,3,6
Shots outside box,5,2
Goalkeeper saves,3,4
Passes,384,357
Accurate passes,277 (72%),267 (75%)
Long balls,31/79 (39%),26/62 (42%)
Crosses,2/16 (13%),4/25 (16%)
Dribbles,8/17 (47%),7/17 (41%)
Possession lost,154,151
Duels won,65,53
Aerials won,24,24
Tackles,19,11
Interceptions,5,4
Clearances,21,16
Ball possession,56%,44%
Total shots,3,2
Shots on target,2,1
Shots off target,1,1
Blocked shots,0,0
Corner kicks,1,2
Offsides,1,2
Yellow cards,0,1
Free kicks,10,5
Throw-ins,11,13
Goal kicks,5,3
Big chances,1,0
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,2,2
Shots outside box,1,0
Goalkeeper saves,1,2
Passes,188,144
Accurate passes,138 (73%),103 (72%)
Long balls,18/39 (46%),15/33 (45%)
Crosses,1/7 (14%),2/9 (22%)
Dribbles,4/8 (50%),5/11 (45%)
Possession lost,69,72
Duels won,36,29
Aerials won,10,15
Tackles,12,4
Interceptions,1,1
Clearances,10,7
Ball possession,47%,53%
Total shots,5,6
Shots on target,2,2
Shots off target,1,1
Blocked shots,2,3
Corner kicks,1,3
Offsides,0,1
Yellow cards,2,1
Free kicks,4,6
Throw-ins,17,11
Goal kicks,3,2
Big chances,0,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,1,4
Shots outside box,4,2
Goalkeeper saves,2,2
Passes,196,213
Accurate passes,139 (71%),164 (77%)
Long balls,13/40 (33%),11/29 (38%)
Crosses,1/9 (11%),2/16 (13%)
Dribbles,4/9 (44%),2/6 (33%)
Possession lost,85,79
Duels won,29,24
Aerials won,14,9
Tackles,7,7
Interceptions,4,3
Clearances,11,9
