name,home,away
Ball possession,48%,52%
Total shots,7,7
Shots on target,2,4
Shots off target,4,1
Blocked shots,1,2
Corner kicks,6,1
Offsides,0,1
Fouls,15,13
Yellow cards,3,3
Free kicks,13,15
Throw-ins,26,31
Goal kicks,6,9
Big chances,1,2
Big chances missed,1,0
Counter attacks,2,0
Counter attack shots,1,0
Counter attack goals,1,0
Shots inside box,4,5
Shots outside box,3,2
Goalkeeper saves,0,1
Passes,423,461
Accurate passes,319 (75%),359 (78%)
Long balls,35/69 (51%),15/53 (28%)
Crosses,3/15 (20%),1/5 (20%)
Dribbles,2/8 (25%),8/10 (80%)
Possession lost,158,153
Duels won,51,53
Aerials won,15,12
Tackles,20,19
Interceptions,12,11
Clearances,5,16
Ball possession,42%,58%
Total shots,1,3
Shots on target,0,2
Shots off target,1,0
Blocked shots,0,1
Corner kicks,3,1
Offsides,0,0
Yellow cards,1,3
Free kicks,8,7
Throw-ins,16,13
Goal kicks,2,6
Big chances,0,1
Big chances missed,0,0
Counter attacks,0,0
Counter attack shots,0,0
Counter attack goals,0,0
Shots inside box,1,3
Shots outside box,0,0
Goalkeeper saves,0,0
Passes,193,261
Accurate passes,144 (75%),208 (80%)
Long balls,16/36 (44%),12/25 (48%)
Crosses,1/5 (20%),1/5 (20%)
Dribbles,2/3 (67%),2/2 (100%)
Possession lost,78,75
Duels won,24,24
Aerials won,7,5
Tackles,7,11
Interceptions,8,3
Clearances,3,2
Ball possession,55%,45%
Total shots,6,4
Shots on target,2,2
Shots off target,3,1
Blocked shots,1,1
Corner kicks,3,0
Offsides,0,1
Yellow cards,2,0
Free kicks,5,8
Throw-ins,10,18
Goal kicks,4,3
Big chances,1,1
Big chances missed,1,0
Counter attacks,2,0
Counter attack shots,1,0
Counter attack goals,1,0
Shots inside box,3,2
Shots outside box,3,2
Goalkeeper saves,0,1
Passes,230,200
Accurate passes,175 (76%),151 (76%)
Long balls,19/33 (58%),3/28 (11%)
Crosses,2/10 (20%),0/0 (0%)
Dribbles,0/5 (0%),6/8 (75%)
Possession lost,80,78
Duels won,27,29
Aerials won,8,7
Tackles,13,8
Interceptions,4,8
Clearances,2,14
