shirtNumber,jerseyNumber,position,substitute,player.name,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.saves,statistics.punches,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.aerialLost,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.aerialWon,statistics.challengeLost,statistics.shotOffTarget,statistics.errorLeadToAShot,statistics.wasFouled,statistics.accurateCross,statistics.totalContest,statistics.keyPass,statistics.bigChanceMissed,statistics.blockedScoringAttempt,statistics.wonContest,statistics.outfielderBlock,captain,statistics.goalAssist,statistics.totalOffside,statistics.onTargetScoringAttempt,statistics.goals,team,player_type,statistics.savedShotsFromInsideTheBox
8,8,M,True,Emma Snerle,E. Snerle,M,31,973953,DK,Denmark,985305600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
7,7,M,True,Sanne Troelsgaard,S. Troelsgaard,M,74,71630,DK,Denmark,587606400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
15,15,D,True,Frederikke Thøgersen,F. Thøgersen,M,49,184245,DK,Denmark,806544000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
21,21,F,True,Mille Gejl,M. Gejl,F,45,998114,DK,Denmark,938044800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
12,12,G,False,Xu Huan,X. Huan,G,4,985542,CN,China,920678400.0,18.0,4.0,15.0,2.0,,,1.0,,1.0,1.0,90.0,21.0,6.2,14.0,6.2,6.4,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,away,main,1.0
2,2,D,False,Li Mengwen,L. Mengwen,D,35,1004570,CN,China,796348800.0,33.0,23.0,7.0,,1.0,,,,,,85.0,65.0,6.7,15.0,6.7,6.7,,,2.0,4.0,1.0,1.0,3.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,away,main,
11,11,D,False,Wang Shanshan,W. Shanshan,F,18,796640,CN,China,633398400.0,49.0,27.0,21.0,4.0,4.0,,,,,,90.0,58.0,6.3,22.0,6.3,6.3,,,1.0,3.0,,2.0,1.0,,2.0,1.0,,,,,,,,,,,True,,,,,away,main,
8,8,D,False,Yao Wei,Y. Wei,M,4,985550,CN,China,873072000.0,38.0,26.0,10.0,2.0,7.0,,,,,,90.0,55.0,6.7,15.0,6.7,6.7,2.0,3.0,4.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,2.0,,,,,,away,main,
15,15,D,False,Chen Qiaozhu,C. Qiaozhu,D,1,1480265,CN,China,936748800.0,35.0,23.0,4.0,,7.0,,,,,,90.0,64.0,6.8,24.0,6.8,6.8,3.0,4.0,6.0,3.0,1.0,,,,3.0,,1.0,,,,1.0,,,,,2.0,,,,,,away,main,
6,6,M,False,Zhang Xin,Z. Xin,M,2,796649,CN,China,706579200.0,23.0,14.0,1.0,,1.0,,,,,,45.0,34.0,6.4,16.0,6.4,6.3,2.0,,3.0,2.0,1.0,,1.0,,,,,,,,3.0,,,,1.0,,,,,,,away,main,
10,10,M,False,Rui Zhang,R. Zhang,M,3,106630,CN,China,600998400.0,53.0,41.0,5.0,2.0,6.0,,,,,,90.0,83.0,6.8,21.0,6.8,6.7,,2.0,11.0,8.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,,,,5.0,,,,2.0,,,,,,,away,main,
13,13,M,False,Yang Lina,Y. Lina,M,42,947074,CN,China,766195200.0,42.0,33.0,3.0,1.0,2.0,,,,,,90.0,59.0,7.2,14.0,7.2,7.3,,3.0,4.0,6.0,,,5.0,1.0,1.0,,,,,,,2.0,,,,1.0,,,1.0,,,away,main,
