name,home,away
Ball possession,65%,35%
Total shots,25,16
Shots on target,7,5
Shots off target,11,7
Blocked shots,7,4
Corner kicks,11,4
Offsides,1,3
Fouls,11,9
Yellow cards,2,1
Free kicks,8,10
Throw-ins,22,18
Goal kicks,8,14
Big chances,4,2
Big chances missed,3,2
Counter attacks,0,3
Counter attack shots,0,2
Counter attack goals,0,1
Shots inside box,17,10
Shots outside box,8,6
Goalkeeper saves,3,6
Passes,501,280
Accurate passes,413 (82%),199 (71%)
Long balls,40/63 (63%),23/64 (36%)
Crosses,10/36 (28%),3/9 (33%)
Dribbles,10/17 (59%),8/16 (50%)
Possession lost,143,126
Duels won,60,52
Aerials won,25,19
Tackles,18,15
Interceptions,13,12
Clearances,9,38
Ball possession,65%,35%
Total shots,9,8
Shots on target,3,3
Shots off target,3,2
Blocked shots,3,3
Corner kicks,6,2
Offsides,0,3
Yellow cards,0,0
Free kicks,3,5
Throw-ins,7,7
Goal kicks,4,3
Big chances,1,1
Big chances missed,1,1
Counter attacks,0,3
Counter attack shots,0,2
Counter attack goals,0,1
Shots inside box,5,5
Shots outside box,4,3
Goalkeeper saves,1,3
Passes,285,158
Accurate passes,240 (84%),121 (77%)
Long balls,22/35 (63%),10/27 (37%)
Crosses,3/15 (20%),2/6 (33%)
Dribbles,3/7 (43%),3/6 (50%)
Possession lost,70,61
Duels won,22,23
Aerials won,7,8
Tackles,9,7
Interceptions,7,5
Clearances,4,16
Ball possession,65%,35%
Total shots,16,8
Shots on target,4,2
Shots off target,8,5
Blocked shots,4,1
Corner kicks,5,2
Offsides,1,0
Yellow cards,2,1
Free kicks,5,5
Throw-ins,15,11
Goal kicks,4,11
Big chances,3,1
Big chances missed,2,1
Counter attacks,0,0
Counter attack shots,0,0
Counter attack goals,0,0
Shots inside box,12,5
Shots outside box,4,3
Goalkeeper saves,2,3
Passes,216,122
Accurate passes,173 (80%),78 (64%)
Long balls,18/28 (64%),13/37 (35%)
Crosses,7/21 (33%),1/3 (33%)
Dribbles,7/10 (70%),5/10 (50%)
Possession lost,73,65
Duels won,38,29
Aerials won,18,11
Tackles,9,8
Interceptions,6,7
Clearances,5,22
