name,home,away
Expected goals,0.72,0.16
Expected assists,0.73,0.22
Ball possession,45%,55%
Total shots,6,6
Shots on target,1,4
Shots off target,2,0
Blocked shots,3,2
Corner kicks,2,1
Offsides,1,1
Fouls,19,14
Yellow cards,5,2
Free kicks,12,19
Throw-ins,23,29
Goal kicks,3,7
Big chances,1,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,3,0
Shots outside box,3,6
Goalkeeper saves,3,0
Goals prevented,-0.04,-1.50
Passes,350,450
Accurate passes,257 (73%),354 (79%)
Long balls,21/54 (39%),15/34 (44%)
Crosses,4/15 (27%),3/8 (38%)
Dribbles,13/17 (76%),6/11 (55%)
Possession lost,139,146
Duels won,50,50
Aerials won,7,7
Tackles,18,18
Interceptions,18,18
Clearances,8,7
Expected goals,0.12,0.08
Expected assists,0.39,0.05
Ball possession,46%,54%
Total shots,2,2
Shots on target,0,1
Shots off target,1,0
Blocked shots,1,1
Corner kicks,2,0
Offsides,1,1
Yellow cards,0,0
Free kicks,3,9
Throw-ins,14,14
Goal kicks,2,3
Big chances,0,0
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,1,0
Shots outside box,1,2
Goalkeeper saves,1,0
Passes,178,226
Accurate passes,125 (70%),179 (79%)
Long balls,3/23 (13%),6/22 (27%)
Crosses,3/11 (27%),1/2 (50%)
Dribbles,5/6 (83%),2/6 (33%)
Possession lost,79,73
Duels won,22,22
Aerials won,4,1
Tackles,10,10
Interceptions,10,11
Clearances,2,6
Expected goals,0.60,0.08
Expected assists,0.34,0.17
Ball possession,44%,56%
Total shots,4,4
Shots on target,1,3
Shots off target,1,0
Blocked shots,2,1
Corner kicks,0,1
Offsides,0,0
Yellow cards,5,2
Free kicks,9,10
Throw-ins,9,15
Goal kicks,1,4
Big chances,1,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,2,0
Shots outside box,2,4
Goalkeeper saves,2,0
Passes,172,224
Accurate passes,132 (77%),175 (78%)
Long balls,18/31 (58%),9/12 (75%)
Crosses,1/4 (25%),2/6 (33%)
Dribbles,8/11 (73%),4/5 (80%)
Possession lost,60,73
Duels won,28,28
Aerials won,3,6
Tackles,8,8
Interceptions,8,7
Clearances,6,1
