name,home,away
Ball possession,71%,29%
Total shots,9,9
Shots on target,3,4
Shots off target,3,2
Blocked shots,3,3
Corner kicks,2,2
Offsides,1,3
Fouls,22,19
Yellow cards,2,4
Free kicks,18,21
Throw-ins,13,14
Goal kicks,3,5
Big chances,0,1
Shots inside box,3,7
Shots outside box,6,2
Goalkeeper saves,3,3
Passes,504,205
Accurate passes,418 (83%),122 (60%)
Long balls,47/70 (67%),18/51 (35%)
Crosses,4/19 (21%),1/7 (14%)
Dribbles,3/4 (75%),3/6 (50%)
Possession lost,118,120
Duels won,43,49
Aerials won,14,19
Tackles,8,6
Interceptions,9,15
Clearances,7,13
Ball possession,67%,33%
Total shots,3,7
Shots on target,0,4
Shots off target,1,1
Blocked shots,2,2
Corner kicks,1,1
Offsides,1,1
Yellow cards,1,1
Free kicks,8,10
Throw-ins,7,7
Goal kicks,2,2
Big chances,0,1
Shots inside box,1,5
Shots outside box,2,2
Goalkeeper saves,3,0
Passes,272,133
Accurate passes,224 (82%),90 (68%)
Long balls,23/36 (64%),6/23 (26%)
Crosses,1/8 (13%),1/3 (33%)
Dribbles,1/2 (50%),2/4 (50%)
Possession lost,65,61
Duels won,21,26
Aerials won,7,10
Tackles,5,4
Interceptions,6,12
Clearances,3,5
Ball possession,76%,24%
Total shots,6,2
Shots on target,3,0
Shots off target,2,1
Blocked shots,1,1
Corner kicks,1,1
Offsides,0,2
Yellow cards,1,3
Free kicks,10,11
Throw-ins,6,7
Goal kicks,1,3
Big chances,0,0
Shots inside box,2,2
Shots outside box,4,0
Goalkeeper saves,0,3
Passes,232,72
Accurate passes,194 (84%),32 (44%)
Long balls,24/34 (71%),12/28 (43%)
Crosses,3/11 (27%),0/4 (0%)
Dribbles,2/2 (100%),1/2 (50%)
Possession lost,53,59
Duels won,22,23
Aerials won,7,9
Tackles,3,2
Interceptions,3,3
Clearances,4,8
