name,home,away
Expected goals,1.50,1.34
Ball possession,66%,34%
Total shots,16,10
Shots on target,7,1
Shots off target,3,6
Blocked shots,6,3
Corner kicks,4,5
Offsides,6,1
Fouls,13,7
Yellow cards,0,1
Free kicks,7,13
Throw-ins,27,32
Goal kicks,10,9
Big chances,1,3
Big chances missed,0,3
Hit woodwork,0,1
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,9,9
Shots outside box,7,1
Goalkeeper saves,1,6
Passes,512,241
Accurate passes,395 (77%),129 (54%)
Long balls,21/51 (41%),25/64 (39%)
Crosses,2/10 (20%),4/19 (21%)
Dribbles,6/14 (43%),13/23 (57%)
Possession lost,178,174
Duels won,41,62
Aerials won,15,19
Tackles,13,18
Interceptions,8,14
Clearances,12,16
Ball possession,71%,29%
Total shots,9,4
Shots on target,4,0
Shots off target,1,3
Blocked shots,4,1
Corner kicks,3,0
Offsides,2,0
Yellow cards,0,1
Free kicks,1,7
Throw-ins,13,13
Goal kicks,4,3
Big chances,1,2
Big chances missed,0,2
Hit woodwork,0,1
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,4,4
Shots outside box,5,0
Goalkeeper saves,0,3
Passes,296,116
Accurate passes,240 (81%),65 (56%)
Long balls,11/22 (50%),10/25 (40%)
Crosses,1/6 (17%),1/4 (25%)
Dribbles,4/7 (57%),6/12 (50%)
Possession lost,90,74
Duels won,17,25
Aerials won,5,7
Tackles,7,6
Interceptions,2,11
Clearances,3,11
Ball possession,61%,39%
Total shots,7,6
Shots on target,3,1
Shots off target,2,3
Blocked shots,2,2
Corner kicks,1,5
Offsides,4,1
Yellow cards,0,0
Free kicks,6,6
Throw-ins,14,19
Goal kicks,6,6
Big chances,0,1
Big chances missed,0,1
Hit woodwork,0,0
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,5,5
Shots outside box,2,1
Goalkeeper saves,1,3
Passes,216,125
Accurate passes,155 (72%),64 (51%)
Long balls,10/29 (34%),15/39 (38%)
Crosses,1/4 (25%),3/15 (20%)
Dribbles,2/7 (29%),7/11 (64%)
Possession lost,88,100
Duels won,24,37
Aerials won,10,12
Tackles,6,12
Interceptions,6,3
Clearances,9,5
