name,home,away
Ball possession,59%,41%
Total shots,9,5
Shots on target,5,1
Shots off target,2,3
Blocked shots,2,1
Corner kicks,4,3
Offsides,6,6
Fouls,16,16
Yellow cards,2,1
Free kicks,16,15
Throw-ins,18,21
Goal kicks,8,5
Big chances,2,0
Big chances missed,1,0
Shots inside box,6,3
Shots outside box,3,2
Goalkeeper saves,1,3
Passes,488,331
Accurate passes,419 (86%),245 (74%)
Long balls,35/56 (63%),28/56 (50%)
Crosses,2/11 (18%),3/12 (25%)
Dribbles,6/14 (43%),6/8 (75%)
Possession lost,118,123
Duels won,41,45
Aerials won,11,10
Tackles,8,14
Interceptions,10,11
Clearances,15,17
Ball possession,68%,32%
Total shots,3,2
Shots on target,2,0
Shots off target,0,2
Blocked shots,1,0
Corner kicks,1,2
Offsides,1,2
Yellow cards,1,1
Free kicks,8,6
Throw-ins,10,14
Goal kicks,2,3
Big chances,0,0
Big chances missed,0,0
Shots inside box,3,1
Shots outside box,0,1
Goalkeeper saves,0,1
Passes,316,144
Accurate passes,285 (90%),101 (70%)
Long balls,17/25 (68%),8/20 (40%)
Crosses,1/3 (33%),2/6 (33%)
Dribbles,4/10 (40%),3/4 (75%)
Possession lost,57,62
Duels won,21,22
Aerials won,5,3
Tackles,4,10
Interceptions,7,7
Clearances,6,6
Ball possession,48%,52%
Total shots,6,3
Shots on target,3,1
Shots off target,2,1
Blocked shots,1,1
Corner kicks,3,1
Offsides,5,4
Yellow cards,1,0
Free kicks,8,9
Throw-ins,8,7
Goal kicks,6,2
Big chances,2,0
Big chances missed,1,0
Shots inside box,3,2
Shots outside box,3,1
Goalkeeper saves,1,2
Passes,172,187
Accurate passes,134 (78%),144 (77%)
Long balls,18/31 (58%),20/36 (56%)
Crosses,1/8 (13%),1/6 (17%)
Dribbles,2/4 (50%),3/4 (75%)
Possession lost,61,61
Duels won,20,23
Aerials won,6,7
Tackles,4,4
Interceptions,3,4
Clearances,9,11
