name,home,away
Ball possession,69%,31%
Total shots,19,3
Shots on target,7,0
Shots off target,5,1
Blocked shots,7,2
Corner kicks,3,3
Offsides,2,0
Fouls,18,17
Yellow cards,2,1
Red cards,0,1
Free kicks,16,14
Throw-ins,15,23
Goal kicks,2,13
Big chances,4,0
Big chances missed,4,0
Shots inside box,13,1
Shots outside box,6,2
Goalkeeper saves,0,5
Passes,688,303
Accurate passes,590 (86%),194 (64%)
Long balls,39/52 (75%),18/61 (30%)
Crosses,3/18 (17%),1/12 (8%)
Dribbles,25/35 (71%),19/31 (61%)
Possession lost,159,158
Duels won,70,65
Aerials won,12,12
Tackles,17,20
Interceptions,14,17
Clearances,15,25
Ball possession,70%,30%
Total shots,9,1
Shots on target,2,0
Shots off target,4,1
Blocked shots,3,0
Corner kicks,0,3
Offsides,1,0
Yellow cards,1,0
Red cards,0,0
Free kicks,9,6
Throw-ins,9,10
Goal kicks,1,7
Big chances,1,0
Big chances missed,1,0
Shots inside box,6,1
Shots outside box,3,0
Goalkeeper saves,0,1
Passes,377,163
Accurate passes,322 (85%),108 (66%)
Long balls,19/26 (73%),9/29 (31%)
Crosses,2/8 (25%),1/5 (20%)
Dribbles,12/15 (80%),10/16 (63%)
Possession lost,78,76
Duels won,34,27
Aerials won,5,4
Tackles,8,7
Interceptions,8,8
Clearances,5,16
Ball possession,69%,31%
Total shots,10,2
Shots on target,5,0
Shots off target,1,0
Blocked shots,4,2
Corner kicks,3,0
Offsides,1,0
Yellow cards,1,1
Red cards,0,1
Free kicks,7,8
Throw-ins,6,13
Goal kicks,1,6
Big chances,3,0
Big chances missed,3,0
Shots inside box,7,0
Shots outside box,3,2
Goalkeeper saves,0,4
Passes,311,140
Accurate passes,268 (86%),86 (61%)
Long balls,20/26 (77%),9/32 (28%)
Crosses,1/10 (10%),0/7 (0%)
Dribbles,13/20 (65%),9/15 (60%)
Possession lost,81,82
Duels won,36,38
Aerials won,7,8
Tackles,9,13
Interceptions,6,9
Clearances,10,9
