name,home,away
Ball possession,47%,53%
Total shots,12,7
Shots on target,4,4
Shots off target,4,2
Blocked shots,4,1
Corner kicks,2,3
Offsides,1,3
Fouls,14,18
Yellow cards,3,2
Free kicks,18,13
Throw-ins,29,36
Goal kicks,8,6
Big chances,0,1
Hit woodwork,1,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,6,2
Shots outside box,6,5
Goalkeeper saves,2,2
Passes,353,396
Accurate passes,233 (66%),283 (71%)
Long balls,19/59 (32%),13/55 (24%)
Crosses,4/18 (22%),0/11 (0%)
Dribbles,11/18 (61%),6/11 (55%)
Possession lost,170,177
Duels won,69,54
Aerials won,22,17
Tackles,18,18
Interceptions,14,8
Clearances,21,23
Ball possession,44%,56%
Total shots,2,5
Shots on target,1,3
Shots off target,0,1
Blocked shots,1,1
Corner kicks,0,3
Offsides,0,2
Yellow cards,2,1
Free kicks,10,6
Throw-ins,13,20
Goal kicks,5,1
Big chances,0,1
Hit woodwork,0,0
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,1,1
Shots outside box,1,4
Goalkeeper saves,2,1
Passes,153,198
Accurate passes,102 (67%),147 (74%)
Long balls,8/27 (30%),5/22 (23%)
Crosses,1/6 (17%),0/8 (0%)
Dribbles,7/9 (78%),3/5 (60%)
Possession lost,75,80
Duels won,31,25
Aerials won,9,6
Tackles,5,10
Interceptions,9,4
Clearances,13,9
Ball possession,51%,49%
Total shots,10,2
Shots on target,3,1
Shots off target,4,1
Blocked shots,3,0
Corner kicks,2,0
Offsides,1,1
Yellow cards,1,1
Free kicks,8,7
Throw-ins,16,16
Goal kicks,3,5
Big chances,0,0
Hit woodwork,1,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,5,1
Shots outside box,5,1
Goalkeeper saves,0,1
Passes,200,198
Accurate passes,131 (66%),136 (69%)
Long balls,11/32 (34%),8/33 (24%)
Crosses,3/12 (25%),0/3 (0%)
Dribbles,4/9 (44%),3/6 (50%)
Possession lost,95,97
Duels won,38,29
Aerials won,13,11
Tackles,13,8
Interceptions,5,4
Clearances,8,14
