name,home,away
Expected goals,1.95,1.06
Ball possession,58%,42%
Total shots,17,13
Shots on target,5,5
Shots off target,7,4
Blocked shots,5,4
Corner kicks,8,5
Offsides,3,0
Fouls,9,13
Yellow cards,1,2
Free kicks,12,9
Throw-ins,18,19
Goal kicks,10,12
Big chances,4,1
Big chances missed,2,1
Hit woodwork,1,0
Shots inside box,13,7
Shots outside box,4,6
Goalkeeper saves,4,2
Passes,598,424
Accurate passes,509 (85%),324 (76%)
Long balls,33/59 (56%),23/61 (38%)
Crosses,6/14 (43%),5/22 (23%)
Dribbles,16/24 (67%),7/14 (50%)
Possession lost,138,148
Duels won,57,34
Aerials won,17,5
Tackles,12,13
Interceptions,15,18
Clearances,18,7
Ball possession,63%,37%
Total shots,7,5
Shots on target,2,1
Shots off target,3,2
Blocked shots,2,2
Corner kicks,3,2
Offsides,1,0
Yellow cards,1,0
Free kicks,6,3
Throw-ins,8,8
Goal kicks,3,8
Big chances,2,1
Big chances missed,1,1
Hit woodwork,0,0
Shots inside box,7,1
Shots outside box,0,4
Goalkeeper saves,1,1
Passes,335,201
Accurate passes,290 (87%),146 (73%)
Long balls,18/31 (58%),13/35 (37%)
Crosses,5/10 (50%),2/10 (20%)
Dribbles,8/13 (62%),3/5 (60%)
Possession lost,73,76
Duels won,26,18
Aerials won,8,2
Tackles,4,10
Interceptions,10,9
Clearances,7,3
Ball possession,53%,47%
Total shots,10,8
Shots on target,3,4
Shots off target,4,2
Blocked shots,3,2
Corner kicks,5,3
Offsides,2,0
Yellow cards,0,2
Free kicks,6,6
Throw-ins,10,11
Goal kicks,7,4
Big chances,2,0
Big chances missed,1,0
Hit woodwork,1,0
Shots inside box,6,6
Shots outside box,4,2
Goalkeeper saves,3,1
Passes,263,223
Accurate passes,219 (83%),178 (80%)
Long balls,15/28 (54%),10/26 (38%)
Crosses,1/4 (25%),3/12 (25%)
Dribbles,8/11 (73%),4/9 (44%)
Possession lost,65,72
Duels won,31,16
Aerials won,9,3
Tackles,8,3
Interceptions,5,9
Clearances,11,4
