name,home,away
Ball possession,61%,39%
Total shots,16,14
Shots on target,1,4
Shots off target,8,5
Blocked shots,7,5
Corner kicks,6,7
Offsides,2,1
Fouls,13,12
Yellow cards,2,3
Free kicks,12,12
Throw-ins,18,20
Goal kicks,7,11
Big chances,0,1
Big chances missed,0,1
Shots inside box,13,11
Shots outside box,3,3
Goalkeeper saves,5,0
Passes,402,258
Accurate passes,314 (78%),173 (67%)
Long balls,21/55 (38%),35/76 (46%)
Crosses,5/16 (31%),7/19 (37%)
Dribbles,10/15 (67%),6/9 (67%)
Possession lost,131,127
Duels won,54,67
Aerials won,26,38
Tackles,6,11
Interceptions,4,8
Clearances,17,16
Ball possession,64%,36%
Total shots,9,6
Shots on target,1,1
Shots off target,5,3
Blocked shots,3,2
Corner kicks,4,3
Offsides,1,0
Yellow cards,0,0
Free kicks,3,6
Throw-ins,12,13
Goal kicks,3,7
Big chances,0,1
Big chances missed,0,1
Shots inside box,8,5
Shots outside box,1,1
Goalkeeper saves,1,0
Passes,215,120
Accurate passes,165 (77%),79 (66%)
Long balls,14/34 (41%),18/38 (47%)
Crosses,3/9 (33%),2/7 (29%)
Dribbles,3/6 (50%),3/5 (60%)
Possession lost,74,65
Duels won,26,32
Aerials won,16,18
Tackles,4,5
Interceptions,2,6
Clearances,6,11
Ball possession,57%,43%
Total shots,7,8
Shots on target,0,3
Shots off target,3,2
Blocked shots,4,3
Corner kicks,2,4
Offsides,1,1
Yellow cards,2,3
Free kicks,9,6
Throw-ins,6,7
Goal kicks,4,4
Big chances,0,0
Big chances missed,0,0
Shots inside box,5,6
Shots outside box,2,2
Goalkeeper saves,4,0
Passes,187,138
Accurate passes,149 (80%),94 (68%)
Long balls,7/21 (33%),17/38 (45%)
Crosses,2/7 (29%),5/12 (42%)
Dribbles,7/9 (78%),3/4 (75%)
Possession lost,57,62
Duels won,28,35
Aerials won,10,20
Tackles,2,6
Interceptions,2,2
Clearances,11,5
