name,home,away
Expected goals,3.67,0.62
Expected assists,1.26,0.50
Ball possession,59%,41%
Total shots,18,8
Shots on target,6,5
Shots off target,7,1
Blocked shots,5,2
Corner kicks,4,2
Offsides,1,4
Fouls,13,10
Yellow cards,1,2
Free kicks,10,12
Throw-ins,13,15
Goal kicks,4,7
Big chances,4,1
Big chances missed,1,1
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,13,5
Shots outside box,5,3
Goalkeeper saves,5,2
Goals prevented,0.82,-0.97
Passes,568,398
Accurate passes,498 (88%),317 (80%)
Long balls,27/48 (56%),33/69 (48%)
Crosses,7/22 (32%),4/12 (33%)
Dribbles,14/28 (50%),14/23 (61%)
Possession lost,127,123
Duels won,47,57
Aerials won,11,11
Tackles,12,20
Interceptions,4,14
Clearances,16,19
Expected goals,1.23,0.20
Expected assists,0.59,0.26
Ball possession,67%,33%
Total shots,6,3
Shots on target,3,2
Shots off target,2,0
Blocked shots,1,1
Corner kicks,1,0
Offsides,0,0
Yellow cards,0,1
Free kicks,6,4
Throw-ins,8,6
Goal kicks,2,3
Big chances,1,0
Big chances missed,0,0
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,5,2
Shots outside box,1,1
Goalkeeper saves,2,1
Passes,332,171
Accurate passes,288 (87%),135 (79%)
Long balls,16/28 (57%),17/35 (49%)
Crosses,4/14 (29%),2/3 (67%)
Dribbles,5/11 (45%),5/11 (45%)
Possession lost,71,56
Duels won,25,25
Aerials won,7,8
Tackles,7,8
Interceptions,1,8
Clearances,6,16
Expected goals,2.44,0.43
Expected assists,0.66,0.24
Ball possession,51%,49%
Total shots,12,5
Shots on target,3,3
Shots off target,5,1
Blocked shots,4,1
Corner kicks,3,2
Offsides,1,4
Yellow cards,1,1
Free kicks,4,8
Throw-ins,5,9
Goal kicks,2,4
Big chances,3,1
Big chances missed,1,1
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,8,3
Shots outside box,4,2
Goalkeeper saves,3,1
Passes,236,227
Accurate passes,210 (89%),182 (80%)
Long balls,11/20 (55%),16/34 (47%)
Crosses,3/8 (38%),2/9 (22%)
Dribbles,9/17 (53%),9/12 (75%)
Possession lost,56,67
Duels won,22,32
Aerials won,4,3
Tackles,5,12
Interceptions,3,6
Clearances,10,3
