name,home,away
Ball possession,45%,55%
Total shots,9,10
Shots on target,4,4
Shots off target,5,3
Blocked shots,0,3
Corner kicks,4,4
Offsides,0,2
Fouls,19,19
Yellow cards,3,1
Red cards,0,1
Free kicks,17,18
Throw-ins,15,24
Goal kicks,4,8
Big chances,1,1
Big chances missed,0,1
Shots inside box,6,6
Shots outside box,3,4
Goalkeeper saves,4,2
Passes,381,473
Accurate passes,277 (73%),343 (73%)
Long balls,21/53 (40%),31/73 (42%)
Crosses,2/15 (13%),4/17 (24%)
Dribbles,11/20 (55%),8/12 (67%)
Possession lost,163,176
Duels won,59,64
Aerials won,19,16
Tackles,13,22
Interceptions,8,5
Clearances,21,14
Ball possession,50%,50%
Total shots,6,4
Shots on target,2,1
Shots off target,4,1
Blocked shots,0,2
Corner kicks,2,1
Offsides,0,0
Yellow cards,1,1
Red cards,0,0
Free kicks,9,13
Throw-ins,4,13
Goal kicks,3,5
Big chances,1,0
Big chances missed,0,0
Shots inside box,4,2
Shots outside box,2,2
Goalkeeper saves,1,1
Passes,192,199
Accurate passes,152 (79%),141 (71%)
Long balls,13/25 (52%),6/33 (18%)
Crosses,2/10 (20%),2/6 (33%)
Dribbles,7/11 (64%),4/6 (67%)
Possession lost,73,75
Duels won,34,35
Aerials won,14,10
Tackles,5,8
Interceptions,2,1
Clearances,9,9
Ball possession,41%,59%
Total shots,3,6
Shots on target,2,3
Shots off target,1,2
Blocked shots,0,1
Corner kicks,2,3
Offsides,0,2
Yellow cards,2,0
Red cards,0,1
Free kicks,8,5
Throw-ins,11,11
Goal kicks,1,3
Big chances,0,1
Big chances missed,0,1
Shots inside box,2,4
Shots outside box,1,2
Goalkeeper saves,3,1
Passes,189,274
Accurate passes,125 (66%),202 (74%)
Long balls,8/28 (29%),25/40 (63%)
Crosses,0/5 (0%),2/11 (18%)
Dribbles,4/9 (44%),4/6 (67%)
Possession lost,90,101
Duels won,25,29
Aerials won,5,6
Tackles,8,14
Interceptions,6,4
Clearances,12,5
