name,home,away
Expected goals,0.91,1.49
Expected assists,0.59,1.66
Ball possession,37%,63%
Total shots,13,12
Shots on target,6,3
Shots off target,6,6
Blocked shots,1,3
Corner kicks,5,2
Offsides,1,0
Fouls,8,11
Yellow cards,1,1
Free kicks,11,7
Throw-ins,16,23
Goal kicks,9,6
Big chances,1,1
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,5,7
Shots outside box,8,5
Goalkeeper saves,2,5
Goals prevented,-0.21,0.03
Passes,331,584
Accurate passes,266 (80%),506 (87%)
Long balls,21/39 (54%),30/45 (67%)
Crosses,4/20 (20%),5/22 (23%)
Dribbles,11/21 (52%),10/13 (77%)
Possession lost,138,126
Duels won,51,58
Aerials won,14,12
Tackles,15,29
Interceptions,8,12
Clearances,23,14
Expected goals,0.56,1.17
Expected assists,0.14,1.04
Ball possession,37%,63%
Total shots,6,6
Shots on target,3,1
Shots off target,2,3
Blocked shots,1,2
Corner kicks,1,1
Offsides,1,0
Yellow cards,0,0
Free kicks,5,1
Throw-ins,9,10
Goal kicks,2,2
Big chances,1,1
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,3,3
Shots outside box,3,3
Goalkeeper saves,0,2
Passes,187,334
Accurate passes,160 (86%),297 (89%)
Long balls,12/19 (63%),18/23 (78%)
Crosses,0/12 (0%),2/12 (17%)
Dribbles,8/15 (53%),5/7 (71%)
Possession lost,69,62
Duels won,26,30
Aerials won,6,7
Tackles,7,17
Interceptions,4,4
Clearances,12,10
Expected goals,0.35,0.32
Expected assists,0.44,0.62
Ball possession,37%,63%
Total shots,7,6
Shots on target,3,2
Shots off target,4,3
Blocked shots,0,1
Corner kicks,4,1
Offsides,0,0
Yellow cards,1,1
Free kicks,6,6
Throw-ins,7,13
Goal kicks,7,4
Big chances,0,0
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,2,4
Shots outside box,5,2
Goalkeeper saves,2,3
Passes,144,250
Accurate passes,106 (74%),209 (84%)
Long balls,9/20 (45%),12/22 (55%)
Crosses,4/8 (50%),3/10 (30%)
Dribbles,3/6 (50%),5/6 (83%)
Possession lost,69,64
Duels won,25,28
Aerials won,8,5
Tackles,8,12
Interceptions,4,8
Clearances,11,4
