name,home,away
Ball possession,32%,68%
Total shots,7,26
Shots on target,4,7
Shots off target,3,14
Blocked shots,0,5
Corner kicks,2,10
Offsides,1,3
Fouls,9,6
Yellow cards,5,1
Red cards,1,0
Free kicks,5,8
Throw-ins,20,20
Goal kicks,15,7
Big chances,0,3
Big chances missed,0,2
Hit woodwork,0,1
Shots inside box,4,16
Shots outside box,3,10
Goalkeeper saves,5,3
Passes,259,531
Accurate passes,168 (65%),450 (85%)
Long balls,33/70 (47%),29/47 (62%)
Crosses,2/8 (25%),9/33 (27%)
Dribbles,4/12 (33%),21/31 (68%)
Possession lost,125,149
Duels won,49,56
Aerials won,17,16
Tackles,23,11
Interceptions,11,9
Clearances,30,7
Ball possession,32%,68%
Total shots,5,11
Shots on target,2,5
Shots off target,3,4
Blocked shots,0,2
Corner kicks,1,6
Offsides,1,0
Yellow cards,3,1
Red cards,1,0
Free kicks,2,5
Throw-ins,10,9
Goal kicks,5,5
Big chances,0,3
Big chances missed,0,2
Hit woodwork,0,1
Shots inside box,3,7
Shots outside box,2,4
Goalkeeper saves,3,1
Passes,122,260
Accurate passes,87 (71%),219 (84%)
Long balls,12/28 (43%),12/23 (52%)
Crosses,1/6 (17%),3/14 (21%)
Dribbles,1/4 (25%),11/14 (79%)
Possession lost,54,67
Duels won,17,25
Aerials won,8,6
Tackles,6,3
Interceptions,7,0
Clearances,15,4
Ball possession,32%,68%
Total shots,2,15
Shots on target,2,2
Shots off target,0,10
Blocked shots,0,3
Corner kicks,1,4
Offsides,0,3
Yellow cards,2,0
Red cards,0,0
Free kicks,3,3
Throw-ins,10,11
Goal kicks,10,2
Big chances,0,0
Big chances missed,0,0
Hit woodwork,0,0
Shots inside box,1,9
Shots outside box,1,6
Goalkeeper saves,2,2
Passes,137,271
Accurate passes,81 (59%),231 (85%)
Long balls,21/42 (50%),17/24 (71%)
Crosses,1/2 (50%),6/19 (32%)
Dribbles,3/8 (38%),10/17 (59%)
Possession lost,71,82
Duels won,32,31
Aerials won,9,10
Tackles,17,8
Interceptions,4,9
Clearances,15,3
