name,home,away
Expected goals,2.56,0.45
Ball possession,57%,43%
Total shots,11,7
Shots on target,6,1
Shots off target,3,5
Blocked shots,2,1
Corner kicks,8,4
Offsides,0,2
Fouls,11,12
Yellow cards,0,4
Free kicks,12,10
Throw-ins,21,23
Goal kicks,3,7
Big chances,4,0
Big chances missed,2,0
Shots inside box,9,3
Shots outside box,2,4
Goalkeeper saves,1,3
Passes,525,404
Accurate passes,446 (85%),323 (80%)
Long balls,39/61 (64%),13/37 (35%)
Crosses,3/13 (23%),3/8 (38%)
Dribbles,10/18 (56%),8/16 (50%)
Possession lost,133,119
Duels won,50,41
Aerials won,13,4
Tackles,15,19
Interceptions,4,12
Clearances,13,21
Ball possession,61%,39%
Total shots,4,0
Shots on target,1,0
Shots off target,1,0
Blocked shots,2,0
Corner kicks,4,1
Offsides,0,1
Yellow cards,0,3
Free kicks,8,6
Throw-ins,11,11
Goal kicks,0,4
Big chances,2,0
Big chances missed,1,0
Shots inside box,3,0
Shots outside box,1,0
Goalkeeper saves,0,0
Passes,269,177
Accurate passes,225 (84%),134 (76%)
Long balls,24/35 (69%),5/23 (22%)
Crosses,1/7 (14%),0/3 (0%)
Dribbles,6/10 (60%),4/8 (50%)
Possession lost,69,64
Duels won,29,19
Aerials won,7,2
Tackles,8,7
Interceptions,4,6
Clearances,5,11
Ball possession,53%,47%
Total shots,7,7
Shots on target,5,1
Shots off target,2,5
Blocked shots,0,1
Corner kicks,4,3
Offsides,0,1
Yellow cards,0,1
Free kicks,4,4
Throw-ins,10,12
Goal kicks,3,3
Big chances,2,0
Big chances missed,1,0
Shots inside box,6,3
Shots outside box,1,4
Goalkeeper saves,1,3
Passes,256,227
Accurate passes,221 (86%),189 (83%)
Long balls,15/26 (58%),8/14 (57%)
Crosses,2/6 (33%),3/5 (60%)
Dribbles,4/8 (50%),4/8 (50%)
Possession lost,64,55
Duels won,21,22
Aerials won,6,2
Tackles,7,12
Interceptions,0,6
Clearances,8,10
