name,home,away
Ball possession,43%,57%
Total shots,7,11
Shots on target,3,3
Shots off target,4,6
Blocked shots,0,2
Corner kicks,1,3
Offsides,1,4
Fouls,17,14
Yellow cards,2,2
Free kicks,13,16
Throw-ins,17,23
Goal kicks,14,6
Big chances,2,4
Big chances missed,2,3
Shots inside box,6,6
Shots outside box,1,5
Goalkeeper saves,1,2
Passes,357,462
Accurate passes,261 (73%),375 (81%)
Long balls,25/73 (34%),24/42 (57%)
Crosses,1/10 (10%),4/16 (25%)
Dribbles,4/5 (80%),9/21 (43%)
Possession lost,138,141
Duels won,43,60
Aerials won,9,19
Tackles,18,16
Interceptions,16,6
Clearances,14,5
Ball possession,46%,54%
Total shots,2,5
Shots on target,1,0
Shots off target,1,4
Blocked shots,0,1
Corner kicks,1,0
Offsides,1,2
Yellow cards,0,0
Free kicks,4,6
Throw-ins,8,12
Goal kicks,9,2
Big chances,0,0
Big chances missed,0,0
Shots inside box,1,2
Shots outside box,1,3
Goalkeeper saves,0,0
Passes,203,243
Accurate passes,156 (77%),202 (83%)
Long balls,17/44 (39%),14/25 (56%)
Crosses,0/5 (0%),3/7 (43%)
Dribbles,2/2 (100%),6/11 (55%)
Possession lost,67,65
Duels won,17,26
Aerials won,2,10
Tackles,9,4
Interceptions,6,2
Clearances,5,5
Ball possession,41%,59%
Total shots,5,6
Shots on target,2,3
Shots off target,3,2
Blocked shots,0,1
Corner kicks,0,3
Offsides,0,2
Yellow cards,2,2
Free kicks,9,10
Throw-ins,9,11
Goal kicks,5,4
Big chances,2,4
Big chances missed,2,3
Shots inside box,5,4
Shots outside box,0,2
Goalkeeper saves,1,2
Passes,154,219
Accurate passes,105 (68%),173 (79%)
Long balls,8/29 (28%),10/17 (59%)
Crosses,1/5 (20%),1/9 (11%)
Dribbles,2/3 (67%),3/10 (30%)
Possession lost,71,76
Duels won,26,34
Aerials won,7,9
Tackles,9,12
Interceptions,10,4
Clearances,9,0
