name,home,away
Ball possession,50%,50%
Total shots,13,15
Shots on target,5,4
Shots off target,4,9
Blocked shots,4,2
Corner kicks,5,4
Offsides,5,0
Fouls,11,10
Yellow cards,1,1
Free kicks,10,10
Throw-ins,23,15
Goal kicks,10,11
Big chances,3,1
Big chances missed,2,1
Shots inside box,9,8
Shots outside box,4,7
Goalkeeper saves,4,3
Passes,424,424
Accurate passes,336 (79%),338 (80%)
Long balls,26/56 (46%),18/55 (33%)
Crosses,4/13 (31%),2/13 (15%)
Dribbles,6/12 (50%),7/10 (70%)
Possession lost,132,119
Duels won,32,33
Aerials won,8,6
Tackles,8,10
Interceptions,12,11
Clearances,8,24
Ball possession,53%,47%
Total shots,8,4
Shots on target,3,2
Shots off target,3,0
Blocked shots,2,2
Corner kicks,4,0
Offsides,3,0
Yellow cards,0,0
Free kicks,6,6
Throw-ins,13,8
Goal kicks,1,5
Big chances,1,1
Big chances missed,1,1
Shots inside box,5,2
Shots outside box,3,2
Goalkeeper saves,2,3
Passes,228,204
Accurate passes,181 (79%),157 (77%)
Long balls,13/29 (45%),8/30 (27%)
Crosses,2/8 (25%),0/4 (0%)
Dribbles,3/7 (43%),3/4 (75%)
Possession lost,74,64
Duels won,17,18
Aerials won,4,3
Tackles,4,6
Interceptions,5,6
Clearances,2,17
Ball possession,47%,53%
Total shots,5,11
Shots on target,2,2
Shots off target,1,9
Blocked shots,2,0
Corner kicks,1,4
Offsides,2,0
Yellow cards,1,1
Free kicks,4,4
Throw-ins,10,7
Goal kicks,9,6
Big chances,2,0
Big chances missed,1,0
Shots inside box,4,6
Shots outside box,1,5
Goalkeeper saves,2,0
Passes,196,220
Accurate passes,155 (79%),181 (82%)
Long balls,13/27 (48%),10/25 (40%)
Crosses,2/5 (40%),2/9 (22%)
Dribbles,3/5 (60%),4/6 (67%)
Possession lost,58,55
Duels won,15,15
Aerials won,4,3
Tackles,4,4
Interceptions,7,5
Clearances,6,7
