name,home,away
Expected goals,5.30,1.12
Ball possession,61%,39%
Total shots,24,11
Shots on target,10,4
Shots off target,9,4
Blocked shots,5,3
Corner kicks,7,3
Offsides,1,1
Fouls,9,11
Yellow cards,1,1
Free kicks,11,9
Throw-ins,11,18
Goal kicks,2,12
Big chances,5,1
Big chances missed,2,1
Hit woodwork,1,2
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,17,6
Shots outside box,7,5
Goalkeeper saves,3,7
Passes,651,406
Accurate passes,561 (86%),313 (77%)
Long balls,42/64 (66%),34/72 (47%)
Crosses,7/17 (41%),3/14 (21%)
Dribbles,16/31 (52%),9/19 (47%)
Possession lost,142,131
Duels won,56,49
Aerials won,12,8
Tackles,18,23
Interceptions,12,10
Clearances,14,20
Ball possession,66%,34%
Total shots,14,3
Shots on target,5,3
Shots off target,6,0
Blocked shots,3,0
Corner kicks,5,1
Offsides,1,1
Yellow cards,0,0
Free kicks,5,2
Throw-ins,10,13
Goal kicks,0,9
Big chances,1,0
Big chances missed,0,0
Hit woodwork,0,0
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,9,2
Shots outside box,5,1
Goalkeeper saves,2,4
Passes,320,163
Accurate passes,271 (85%),114 (70%)
Long balls,22/33 (67%),13/37 (35%)
Crosses,2/9 (22%),0/1 (0%)
Dribbles,12/24 (50%),4/9 (44%)
Possession lost,81,64
Duels won,31,25
Aerials won,6,4
Tackles,9,15
Interceptions,2,5
Clearances,4,13
Ball possession,57%,43%
Total shots,10,8
Shots on target,5,1
Shots off target,3,4
Blocked shots,2,3
Corner kicks,2,2
Offsides,0,0
Yellow cards,1,1
Free kicks,6,7
Throw-ins,1,5
Goal kicks,2,3
Big chances,4,1
Big chances missed,2,1
Hit woodwork,1,2
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,8,4
Shots outside box,2,4
Goalkeeper saves,1,3
Passes,331,243
Accurate passes,290 (88%),199 (82%)
Long balls,20/31 (65%),21/35 (60%)
Crosses,5/8 (63%),3/13 (23%)
Dribbles,4/7 (57%),5/10 (50%)
Possession lost,61,67
Duels won,25,24
Aerials won,6,4
Tackles,9,8
Interceptions,10,5
Clearances,10,7
