name,home,away
Expected goals,1.46,1.56
Ball possession,49%,51%
Total shots,12,11
Shots on target,4,6
Shots off target,7,3
Blocked shots,1,2
Corner kicks,4,3
Offsides,2,3
Fouls,10,13
Yellow cards,1,1
Free kicks,11,9
Throw-ins,21,9
Goal kicks,10,14
Big chances,3,2
Big chances missed,2,1
Shots inside box,7,6
Shots outside box,5,5
Goalkeeper saves,3,3
Passes,463,504
Accurate passes,373 (81%),413 (82%)
Long balls,21/40 (53%),37/72 (51%)
Crosses,4/17 (24%),1/4 (25%)
Dribbles,10/17 (59%),11/18 (61%)
Possession lost,136,128
Duels won,44,42
Aerials won,10,9
Tackles,13,13
Interceptions,7,15
Clearances,15,13
Ball possession,51%,49%
Total shots,8,6
Shots on target,2,3
Shots off target,5,1
Blocked shots,1,2
Corner kicks,3,3
Offsides,2,1
Yellow cards,0,0
Free kicks,4,3
Throw-ins,11,5
Goal kicks,3,9
Big chances,2,1
Big chances missed,2,0
Shots inside box,3,3
Shots outside box,5,3
Goalkeeper saves,1,2
Passes,236,226
Accurate passes,198 (84%),185 (82%)
Long balls,10/19 (53%),17/31 (55%)
Crosses,3/10 (30%),1/4 (25%)
Dribbles,5/9 (56%),6/11 (55%)
Possession lost,61,62
Duels won,22,19
Aerials won,5,2
Tackles,8,8
Interceptions,4,3
Clearances,10,4
Ball possession,46%,54%
Total shots,4,5
Shots on target,2,3
Shots off target,2,2
Blocked shots,0,0
Corner kicks,1,0
Offsides,0,2
Yellow cards,1,1
Free kicks,7,6
Throw-ins,10,4
Goal kicks,7,5
Big chances,1,1
Big chances missed,0,1
Shots inside box,4,3
Shots outside box,0,2
Goalkeeper saves,2,1
Passes,227,278
Accurate passes,175 (77%),228 (82%)
Long balls,11/21 (52%),20/41 (49%)
Crosses,1/7 (14%),0/0 (0%)
Dribbles,5/8 (63%),5/7 (71%)
Possession lost,75,66
Duels won,22,23
Aerials won,5,7
Tackles,5,5
Interceptions,3,12
Clearances,5,9
