winnerCode,coverage,crowdsourcingDataDisplayEnabled,startTimestamp,tournament.name,tournament.category.name,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.flag,roundInfo.round,status.description,status.type,homeTeam.name,homeTeam.shortName,homeTeam.gender,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.country.alpha2,awayTeam.country.name,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changeTimestamp,homeScore.penalties,awayScore.penalties,homeScore.period2,awayScore.period2,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,homeRedCards,time.injuryTime3,time.injuryTime4
1,-1.0,False,1644145200,"AFC Asian Cup, Women, Knockout stage",Asia,asia,"AFC Asian Cup, Women",Asia,Football,asia,1.0,Ended,finished,China,China,F,1,3093,CHN,True,7413,CN,China,[],#fff100,South Korea,south-korea,South Korea,F,3568,KOR,True,KR,South Korea,3.0,3.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,1644152184.0,1644152187,,,,,Final,final,1.0,,,,,,,,,
1,-1.0,False,1658298600,"EAFF E-1 Football Championship, Women",Asia,asia,"East Asian Championship, Women",Asia,Football,asia,1.0,Ended,finished,China,China,F,1,3093,CHN,True,7413,CN,China,[],#fff100,Chinese Taipei,chinese-taipei,Chinese Taipei,F,331,TPE,True,TW,Chinese Taipei,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,1658305443.0,1658305445,,,0.0,0.0,,,,,,,,,,,,
3,,False,1658570400,"EAFF E-1 Football Championship, Women",Asia,asia,"East Asian Championship, Women",Asia,Football,asia,2.0,Ended,finished,China,China,F,1,3093,CHN,True,7413,CN,China,[],#fff100,South Korea,south-korea,South Korea,F,3568,KOR,True,KR,South Korea,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1658577075.0,1658577079,,,1.0,0.0,,,,,,,,,,,,
3,,False,1658830800,"EAFF E-1 Football Championship, Women",Asia,asia,"East Asian Championship, Women",Asia,Football,asia,3.0,Ended,finished,Japan,Japan,F,1,5511,JPN,True,7418,JP,Japan,[],#ed1b24,China,china,China,F,3093,CHN,True,CN,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1658837462.0,1658837465,,,0.0,0.0,,,,,,,,,,,,
2,-1.0,False,1676372400,"Club Friendly Games, Women",World,international,,,,,,Ended,finished,Real Betis,Betis,F,1,2504,RBB,False,231057,ES,Spain,[],#006633,China,china,China,F,3093,CHN,True,CN,China,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,1676376240.0,1676379334,,,0.0,1.0,,,,,,,,,,,,
1,,False,1676568600,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1.0,Ended,finished,Sweden,Sweden,F,1,10626,SWE,True,7423,SE,Sweden,[],#0000ff,China,china,China,F,3093,CHN,True,CN,China,4.0,4.0,3.0,4.0,1.0,1.0,0.0,1.0,,,1676572260.0,1676575386,,,1.0,1.0,,,,,,,,,,,,
3,,False,1677070800,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1.0,Ended,finished,China,China,F,1,3093,CHN,True,7413,CN,China,[],#fff100,Ireland,ireland,Ireland,F,4567,IRL,True,IE,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1677077732.0,1677077735,,,0.0,0.0,,,,,,,,,,,,
3,,False,1680798600,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1.0,Ended,finished,Switzerland,Switzerland,F,1,5675,SUI,True,38103,CH,Switzerland,[],#ffffff,China,china,China,F,3093,CHN,True,CN,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1680805253.0,1680805256,,,0.0,0.0,,,,,,,,,,,,
1,,False,1681228800,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1.0,Ended,finished,Spain,Spain,F,1,15956,ESP,True,37371,ES,Spain,[],#ffffff,China,china,China,F,3093,CHN,True,CN,China,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1681235328.0,1681235329,,,2.0,0.0,,,,,,,,,,,,
1,-1.0,False,1688457600,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,,Ended,finished,China,China,F,1,3093,CHN,True,7413,CN,China,[],#fff100,Russia,russia,Russia,F,1261,RUS,True,RU,Russia,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1688461320.0,1688464773,,,1.0,0.0,,,,,,,,,,,,
3,-1.0,False,1689559200,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,,Ended,finished,Colombia,Colombia,F,1,8817,COL,True,46631,CO,Colombia,[],#000066,China,china,China,F,3093,CHN,True,CN,China,2.0,2.0,,2.0,2.0,2.0,,2.0,,,,0,,,,,,,,,,,,,,,,
1,,False,1690027200,"World Championship, Women, Group D",World,international,World Championship Women,World,Football,international,1.0,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,China,china,China,F,3093,CHN,True,CN,China,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,1690034078.0,1690034081,,,1.0,0.0,,,,,,,,,,,,
