name,home,away
Expected goals,1.33,0.37
Ball possession,57%,43%
Total shots,10,7
Shots on target,3,2
Shots off target,5,2
Blocked shots,2,3
Corner kicks,3,1
Fouls,17,8
Yellow cards,1,1
Free kicks,6,16
Throw-ins,31,17
Goal kicks,4,6
Big chances,1,0
Shots inside box,8,3
Shots outside box,2,4
Goalkeeper saves,2,0
Passes,529,402
Accurate passes,439 (83%),302 (75%)
Long balls,32/55 (58%),14/53 (26%)
Crosses,7/15 (47%),3/8 (38%)
Dribbles,13/19 (68%),9/15 (60%)
Possession lost,136,138
Duels won,57,49
Aerials won,22,7
Tackles,16,17
Interceptions,13,14
Clearances,6,6
Ball possession,60%,40%
Total shots,8,4
Shots on target,3,0
Shots off target,5,2
Blocked shots,0,2
Corner kicks,3,1
Yellow cards,0,1
Free kicks,4,6
Throw-ins,17,10
Goal kicks,3,4
Big chances,1,0
Shots inside box,8,1
Shots outside box,0,3
Goalkeeper saves,0,0
Passes,255,180
Accurate passes,208 (82%),125 (69%)
Long balls,26/37 (70%),8/34 (24%)
Crosses,7/13 (54%),1/2 (50%)
Dribbles,9/12 (75%),4/5 (80%)
Possession lost,71,72
Duels won,36,24
Aerials won,16,5
Tackles,7,9
Interceptions,9,8
Clearances,3,3
Ball possession,55%,45%
Total shots,2,3
Shots on target,0,2
Shots off target,0,0
Blocked shots,2,1
Corner kicks,0,0
Yellow cards,1,0
Free kicks,2,10
Throw-ins,14,7
Goal kicks,1,2
Big chances,0,0
Shots inside box,0,2
Shots outside box,2,1
Goalkeeper saves,2,0
Passes,274,222
Accurate passes,231 (84%),177 (80%)
Long balls,6/18 (33%),6/19 (32%)
Crosses,0/2 (0%),2/6 (33%)
Dribbles,4/7 (57%),5/10 (50%)
Possession lost,65,66
Duels won,21,25
Aerials won,6,2
Tackles,9,8
Interceptions,4,6
Clearances,3,3
