name,home,away
Ball possession,52%,48%
Total shots,22,5
Shots on target,11,3
Shots off target,5,2
Blocked shots,6,0
Corner kicks,9,2
Fouls,13,14
Yellow cards,2,1
Free kicks,13,13
Throw-ins,33,23
Goal kicks,6,10
Big chances,6,2
Big chances missed,4,0
Counter attacks,0,1
Counter attack shots,0,1
Counter attack goals,0,1
Shots inside box,15,3
Shots outside box,7,2
Goalkeeper saves,1,8
Passes,453,415
Accurate passes,363 (80%),313 (75%)
Long balls,33/66 (50%),38/74 (51%)
Crosses,2/21 (10%),2/13 (15%)
Dribbles,19/40 (48%),2/7 (29%)
Possession lost,157,155
Duels won,52,51
Aerials won,8,10
Tackles,13,26
Interceptions,9,9
Clearances,7,21
Ball possession,54%,46%
Total shots,9,1
Shots on target,4,1
Shots off target,2,0
Blocked shots,3,0
Corner kicks,4,1
Yellow cards,1,1
Free kicks,9,3
Throw-ins,16,11
Goal kicks,2,3
Big chances,4,1
Big chances missed,2,0
Counter attacks,0,1
Counter attack shots,0,1
Counter attack goals,0,1
Shots inside box,6,1
Shots outside box,3,0
Goalkeeper saves,0,2
Passes,271,229
Accurate passes,229 (85%),180 (79%)
Long balls,13/22 (59%),21/34 (62%)
Crosses,1/12 (8%),0/4 (0%)
Dribbles,9/19 (47%),1/3 (33%)
Possession lost,80,77
Duels won,27,21
Aerials won,5,4
Tackles,4,13
Interceptions,6,2
Clearances,3,11
Ball possession,49%,51%
Total shots,13,4
Shots on target,7,2
Shots off target,3,2
Blocked shots,3,0
Corner kicks,5,1
Yellow cards,1,0
Free kicks,4,10
Throw-ins,17,12
Goal kicks,4,7
Big chances,2,1
Big chances missed,2,0
Counter attacks,0,0
Counter attack shots,0,0
Counter attack goals,0,0
Shots inside box,9,2
Shots outside box,4,2
Goalkeeper saves,1,6
Passes,182,186
Accurate passes,134 (74%),133 (72%)
Long balls,20/44 (45%),17/40 (43%)
Crosses,1/9 (11%),2/9 (22%)
Dribbles,10/21 (48%),1/4 (25%)
Possession lost,77,78
Duels won,25,30
Aerials won,3,6
Tackles,9,13
Interceptions,3,7
Clearances,4,10
