name,home,away
Ball possession,52%,48%
Total shots,13,9
Shots on target,2,2
Shots off target,5,3
Blocked shots,6,4
Corner kicks,0,3
Offsides,1,0
Fouls,9,10
Yellow cards,0,2
Free kicks,9,9
Throw-ins,22,18
Goal kicks,5,8
Big chances,1,0
Big chances missed,1,0
Shots inside box,8,3
Shots outside box,5,6
Goalkeeper saves,2,2
Passes,537,507
Accurate passes,450 (84%),441 (87%)
Long balls,42/75 (56%),38/53 (72%)
Crosses,2/16 (13%),2/11 (18%)
Dribbles,9/17 (53%),10/21 (48%)
Possession lost,134,119
Duels won,55,48
Aerials won,16,12
Tackles,21,17
Interceptions,8,10
Clearances,8,23
Ball possession,53%,47%
Total shots,8,5
Shots on target,1,1
Shots off target,2,2
Blocked shots,5,2
Corner kicks,0,1
Offsides,0,0
Yellow cards,0,0
Free kicks,2,6
Throw-ins,15,14
Goal kicks,2,3
Big chances,0,0
Big chances missed,0,0
Shots inside box,5,2
Shots outside box,3,3
Goalkeeper saves,1,1
Passes,261,234
Accurate passes,217 (83%),198 (85%)
Long balls,18/36 (50%),18/25 (72%)
Crosses,1/4 (25%),1/4 (25%)
Dribbles,6/10 (60%),4/11 (36%)
Possession lost,67,67
Duels won,26,26
Aerials won,5,6
Tackles,13,10
Interceptions,7,5
Clearances,5,6
Ball possession,51%,49%
Total shots,5,4
Shots on target,1,1
Shots off target,3,1
Blocked shots,1,2
Corner kicks,0,2
Offsides,1,0
Yellow cards,0,2
Free kicks,7,3
Throw-ins,7,4
Goal kicks,3,5
Big chances,1,0
Big chances missed,1,0
Shots inside box,3,1
Shots outside box,2,3
Goalkeeper saves,1,1
Passes,276,273
Accurate passes,233 (84%),243 (89%)
Long balls,24/39 (62%),20/28 (71%)
Crosses,1/12 (8%),1/7 (14%)
Dribbles,3/7 (43%),6/10 (60%)
Possession lost,67,52
Duels won,29,22
Aerials won,11,6
Tackles,8,7
Interceptions,1,5
Clearances,3,17
