name,home,away
Ball possession,52%,48%
Total shots,7,9
Shots on target,3,1
Shots off target,3,4
Blocked shots,1,4
Corner kicks,4,4
Fouls,9,14
Yellow cards,2,0
Free kicks,14,9
Throw-ins,28,32
Goal kicks,8,6
Big chances,3,1
Big chances missed,2,1
Shots inside box,4,4
Shots outside box,3,5
Goalkeeper saves,1,1
Passes,460,418
Accurate passes,362 (79%),323 (77%)
Long balls,27/62 (44%),34/64 (53%)
Crosses,2/13 (15%),4/18 (22%)
Dribbles,5/13 (38%),3/12 (25%)
Possession lost,147,147
Duels won,50,45
Aerials won,12,14
Tackles,19,19
Interceptions,9,7
Clearances,14,18
Ball possession,47%,53%
Total shots,1,3
Shots on target,0,0
Shots off target,1,1
Blocked shots,0,2
Corner kicks,0,2
Yellow cards,1,0
Free kicks,8,4
Throw-ins,11,13
Goal kicks,3,1
Big chances,0,0
Big chances missed,0,0
Shots inside box,0,1
Shots outside box,1,2
Goalkeeper saves,0,0
Passes,242,267
Accurate passes,197 (81%),217 (81%)
Long balls,12/27 (44%),19/32 (59%)
Crosses,1/6 (17%),1/10 (10%)
Dribbles,2/7 (29%),1/6 (17%)
Possession lost,71,75
Duels won,24,24
Aerials won,5,8
Tackles,9,11
Interceptions,4,3
Clearances,10,9
Ball possession,59%,41%
Total shots,6,6
Shots on target,3,1
Shots off target,2,3
Blocked shots,1,2
Corner kicks,4,2
Yellow cards,1,0
Free kicks,6,5
Throw-ins,17,19
Goal kicks,5,5
Big chances,3,1
Big chances missed,2,1
Shots inside box,4,3
Shots outside box,2,3
Goalkeeper saves,1,1
Passes,218,151
Accurate passes,165 (76%),106 (70%)
Long balls,15/35 (43%),15/32 (47%)
Crosses,1/7 (14%),3/8 (38%)
Dribbles,3/6 (50%),2/6 (33%)
Possession lost,76,72
Duels won,26,21
Aerials won,7,6
Tackles,10,8
Interceptions,5,4
Clearances,4,9
