name,home,away
Ball possession,41%,59%
Total shots,7,20
Shots on target,2,7
Shots off target,3,8
Blocked shots,2,5
Corner kicks,0,10
Offsides,0,3
Fouls,7,12
Yellow cards,0,1
Free kicks,11,7
Throw-ins,21,12
Goal kicks,7,7
Big chances,1,5
Big chances missed,1,4
Shots inside box,3,15
Shots outside box,4,5
Goalkeeper saves,5,2
Passes,430,605
Accurate passes,356 (83%),526 (87%)
Long balls,18/37 (49%),48/77 (62%)
Crosses,1/3 (33%),7/18 (39%)
Dribbles,7/16 (44%),6/8 (75%)
Possession lost,110,107
Duels won,40,41
Aerials won,15,11
Tackles,7,17
Interceptions,4,12
Clearances,13,3
Ball possession,31%,69%
Total shots,2,12
Shots on target,1,5
Shots off target,0,6
Blocked shots,1,1
Corner kicks,0,5
Offsides,0,2
Yellow cards,0,0
Free kicks,2,3
Throw-ins,7,7
Goal kicks,5,0
Big chances,0,3
Big chances missed,0,2
Shots inside box,0,8
Shots outside box,2,4
Goalkeeper saves,3,1
Passes,172,373
Accurate passes,137 (80%),341 (91%)
Long balls,8/19 (42%),25/34 (74%)
Crosses,0/0 (0%),6/10 (60%)
Dribbles,4/9 (44%),3/5 (60%)
Possession lost,51,43
Duels won,20,25
Aerials won,11,9
Tackles,3,10
Interceptions,2,6
Clearances,5,1
Ball possession,52%,48%
Total shots,5,8
Shots on target,1,2
Shots off target,3,2
Blocked shots,1,4
Corner kicks,0,5
Offsides,0,1
Yellow cards,0,1
Free kicks,9,4
Throw-ins,14,5
Goal kicks,2,7
Big chances,1,2
Big chances missed,1,2
Shots inside box,3,7
Shots outside box,2,1
Goalkeeper saves,2,1
Passes,258,232
Accurate passes,219 (85%),185 (80%)
Long balls,10/18 (56%),23/43 (53%)
Crosses,1/3 (33%),1/8 (13%)
Dribbles,3/7 (43%),3/3 (100%)
Possession lost,59,64
Duels won,20,16
Aerials won,4,2
Tackles,4,7
Interceptions,2,6
Clearances,8,2
