winnerCode,startTimestamp,tournament.name,tournament.category.name,tournament.uniqueTournament.name,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.flag,roundInfo.round,homeTeam.name,homeTeam.shortName,homeTeam.gender,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.country.alpha2,homeTeam.country.name,awayTeam.name,awayTeam.shortName,awayTeam.gender,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.country.alpha2,awayTeam.country.name,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changeTimestamp,homeScore.period2,awayScore.period2,time.injuryTime1,roundInfo.name,roundInfo.slug,awayRedCards
2,1665162000,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Norway,Norway,F,6633,NOR,True,NO,Norway,Brazil,Brazil,F,45177,BRA,True,BR,Brazil,1,1,0,1.0,4,4,1,4.0,3.0,1665168741,1665168745,1.0,3.0,3.0,,,
2,1665511200,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Netherlands,Netherlands,F,15663,NED,True,NL,Netherlands,Norway,Norway,F,6633,NOR,True,NO,Norway,0,0,0,0.0,2,2,0,2.0,,1665514980,1665517910,0.0,2.0,,,,
2,1668197400,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Norway,Norway,F,6633,NOR,True,NO,Norway,France,France,F,21076,FRA,True,FR,France,1,1,1,1.0,2,2,1,2.0,4.0,1668204162,1668204165,0.0,1.0,,,,
3,1668538800,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,England,England,F,21565,ENG,True,EN,England,Norway,Norway,F,6633,NOR,True,NO,Norway,1,1,1,1.0,1,1,0,1.0,4.0,1668545477,1668545481,0.0,1.0,,,,1.0
1,1676480400,"Tournoi de France, Women",World,"Tournoi de France, Women",World,international,1.0,Norway,Norway,F,6633,NOR,True,NO,Norway,Uruguay,Uruguay,F,1426,URU,True,UY,Uruguay,1,1,1,1.0,0,0,0,0.0,,1676487360,1676487411,0.0,0.0,,,,
1,1676739600,"Tournoi de France, Women",World,"Tournoi de France, Women",World,international,2.0,Denmark,Denmark,F,7149,DEN,True,DK,Denmark,Norway,Norway,F,6633,NOR,True,NO,Norway,2,2,1,2.0,0,0,0,0.0,,1676743500,1676746423,1.0,0.0,,,,
3,1677010200,"Tournoi de France, Women",World,"Tournoi de France, Women",World,international,3.0,France,France,F,21076,FRA,True,FR,France,Norway,Norway,F,6633,NOR,True,NO,Norway,0,0,0,0.0,0,0,0,0.0,,1677014100,1677017024,0.0,0.0,,,,
1,1680796800,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Spain,Spain,F,16409,ESP,True,ES,Spain,Norway,Norway,F,6633,NOR,True,NO,Norway,4,4,2,4.0,2,2,1,2.0,5.0,1680803744,1680803747,2.0,1.0,,,,
3,1681230600,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Sweden,Sweden,F,10659,SWE,True,SE,Sweden,Norway,Norway,F,6633,NOR,True,NO,Norway,3,3,1,,3,3,0,,5.0,1681237520,1681237522,,,2.0,,,
1,1689836400,"World Championship, Women, Group A",World,World Championship Women,World,international,1.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,Norway,Norway,F,6633,NOR,True,NO,Norway,1,1,0,1.0,0,0,0,0.0,9.0,1689843580,1689843585,1.0,0.0,,,,
3,1690272000,"World Championship, Women, Group A",World,World Championship Women,World,international,2.0,Switzerland,Switzerland,F,6194,SUI,True,CH,Switzerland,Norway,Norway,F,6633,NOR,True,NO,Norway,0,0,0,0.0,0,0,0,0.0,4.0,1690278700,1690278704,0.0,0.0,1.0,,,
