shirtNumber,jerseyNumber,position,substitute,player.name,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.shotOffTarget,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.outfielderBlock,statistics.aerialLost,captain,statistics.onTargetScoringAttempt,statistics.bigChanceMissed,statistics.hitWoodwork,statistics.penaltyMiss,statistics.blockedScoringAttempt,statistics.totalOffside,statistics.goalAssist,statistics.bigChanceCreated,statistics.goals,team,player_type,statistics.punches,statistics.penaltyConceded
10,10,M,True,Annalie Longo,A. Longo,M,4,29139,NZ,New Zealand,678326400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
8,8,M,True,Daisy Cleverley,D. Cleverley,M,7,796545,NZ,New Zealand,862358400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
22,22,F,True,Emily Clegg,E. Clegg,F,10,1416695,NZ,New Zealand,1130803200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
23,23,G,False,Aurora Mikalsen,A. Mikalsen,G,34,1004929,NO,Norway,827366400,27.0,11.0,24.0,8.0,1.0,1.0,,1.0,90.0,35.0,6.7,16.0,6.7,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,main,1.0,
13,13,D,False,Thea Bjelde,T. Bjelde,M,32,905835,NO,Norway,960163200,23.0,15.0,2.0,,2.0,,,,89.0,54.0,7.3,14.0,7.3,7.4,,,1.0,2.0,8.0,1.0,,,,,3.0,7.0,,,,2.0,1.0,,,,,,,,,,,away,main,,
6,6,D,False,Maren Mjelde,M. Mjelde,D,222,25728,NO,Norway,626313600,35.0,23.0,8.0,4.0,4.0,,,,90.0,45.0,6.7,13.0,6.7,6.7,,,1.0,1.0,1.0,,,,,,2.0,,,1.0,,,,True,,,,,,,,,,away,main,,
16,16,D,False,Mathilde Harviken,M. Harviken,D,18,1046173,NO,Norway,1009584000,46.0,30.0,9.0,2.0,5.0,,,,90.0,63.0,6.8,18.0,6.8,6.8,,,,2.0,3.0,,1.0,,,,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,away,main,,
4,4,D,False,Tuva Hansen,T. Hansen,D,66,806295,NO,Norway,870652800,41.0,28.0,6.0,1.0,5.0,,,,90.0,73.0,7.1,15.0,7.1,7.1,2.0,1.0,1.0,1.0,4.0,1.0,,1.0,1.0,,3.0,2.0,,1.0,2.0,1.0,,,1.0,,1.0,,,,,,,away,main,,1.0
7,7,M,False,Ingrid Syrstad Engen,I. S. Engen,M,651,836948,NO,Norway,893808000,48.0,25.0,5.0,2.0,4.0,,,,90.0,66.0,6.8,26.0,6.8,6.6,,,7.0,11.0,12.0,2.0,2.0,,,,,4.0,1.0,2.0,,,5.0,,1.0,,,,,,,,,away,main,,
18,18,M,False,Frida Maanum,F. Maanum,M,268,878675,NO,Norway,932083200,21.0,13.0,4.0,2.0,1.0,,,,74.0,32.0,6.9,11.0,6.9,6.9,1.0,1.0,4.0,4.0,5.0,,1.0,2.0,,3.0,,1.0,,,2.0,,1.0,,,,,,,,,,,away,main,,
