name,home,away
Ball possession,41%,59%
Total shots,15,11
Shots on target,7,3
Shots off target,6,5
Blocked shots,2,3
Corner kicks,5,5
Offsides,3,2
Fouls,17,10
Free kicks,10,16
Throw-ins,19,25
Goal kicks,10,9
Big chances,2,2
Big chances missed,1,2
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,7,8
Shots outside box,8,3
Goalkeeper saves,3,5
Passes,379,531
Accurate passes,289 (76%),429 (81%)
Long balls,24/60 (40%),27/58 (47%)
Crosses,0/13 (0%),6/20 (30%)
Dribbles,10/19 (53%),10/13 (77%)
Possession lost,141,154
Duels won,43,57
Aerials won,14,17
Tackles,9,14
Interceptions,10,8
Clearances,24,17
Ball possession,52%,48%
Total shots,7,5
Shots on target,2,2
Shots off target,4,2
Blocked shots,1,1
Corner kicks,4,2
Offsides,2,1
Free kicks,2,6
Throw-ins,15,11
Goal kicks,3,7
Big chances,0,1
Big chances missed,0,1
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,1,5
Shots outside box,6,0
Goalkeeper saves,2,1
Passes,219,205
Accurate passes,174 (79%),158 (77%)
Long balls,16/31 (52%),14/33 (42%)
Crosses,0/12 (0%),2/7 (29%)
Dribbles,8/12 (67%),5/7 (71%)
Possession lost,79,73
Duels won,26,25
Aerials won,10,7
Tackles,6,7
Interceptions,2,5
Clearances,7,15
Ball possession,32%,68%
Total shots,8,6
Shots on target,5,1
Shots off target,2,3
Blocked shots,1,2
Corner kicks,1,3
Offsides,1,1
Free kicks,8,10
Throw-ins,4,14
Goal kicks,7,2
Big chances,2,1
Big chances missed,1,1
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,6,3
Shots outside box,2,3
Goalkeeper saves,1,4
Passes,160,326
Accurate passes,115 (72%),271 (83%)
Long balls,8/29 (28%),13/25 (52%)
Crosses,0/1 (0%),4/13 (31%)
Dribbles,2/7 (29%),5/6 (83%)
Possession lost,62,81
Duels won,17,32
Aerials won,4,10
Tackles,3,7
Interceptions,8,3
Clearances,17,2
