name,home,away
Expected goals,0.30,2.04
Ball possession,47%,53%
Total shots,12,12
Shots on target,1,4
Shots off target,6,7
Blocked shots,5,1
Corner kicks,5,5
Offsides,0,2
Fouls,15,13
Yellow cards,4,5
Red cards,0,1
Free kicks,13,15
Throw-ins,23,23
Goal kicks,9,7
Big chances,0,2
Big chances missed,0,2
Hit woodwork,0,1
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,3,9
Shots outside box,9,3
Goalkeeper saves,4,0
Passes,381,425
Accurate passes,257 (67%),319 (75%)
Long balls,29/74 (39%),44/79 (56%)
Crosses,3/16 (19%),2/21 (10%)
Dribbles,6/12 (50%),9/16 (56%)
Possession lost,167,165
Duels won,62,69
Aerials won,29,31
Tackles,14,15
Interceptions,6,9
Clearances,31,25
Ball possession,51%,49%
Total shots,7,5
Shots on target,0,2
Shots off target,4,3
Blocked shots,3,0
Corner kicks,3,1
Offsides,0,1
Yellow cards,2,1
Red cards,0,0
Free kicks,7,8
Throw-ins,13,6
Goal kicks,4,3
Big chances,0,1
Big chances missed,0,1
Hit woodwork,0,1
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,3,4
Shots outside box,4,1
Goalkeeper saves,2,0
Passes,214,208
Accurate passes,147 (69%),154 (74%)
Long balls,20/39 (51%),20/38 (53%)
Crosses,1/9 (11%),1/8 (13%)
Dribbles,2/6 (33%),2/5 (40%)
Possession lost,93,80
Duels won,29,33
Aerials won,14,14
Tackles,6,10
Interceptions,3,6
Clearances,10,13
Ball possession,43%,57%
Total shots,5,7
Shots on target,1,2
Shots off target,2,4
Blocked shots,2,1
Corner kicks,2,4
Offsides,0,1
Yellow cards,2,4
Red cards,0,1
Free kicks,6,7
Throw-ins,10,17
Goal kicks,5,4
Big chances,0,1
Big chances missed,0,1
Hit woodwork,0,0
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,0,5
Shots outside box,5,2
Goalkeeper saves,2,0
Passes,167,217
Accurate passes,110 (66%),165 (76%)
Long balls,9/35 (26%),24/41 (59%)
Crosses,2/7 (29%),1/13 (8%)
Dribbles,4/6 (67%),7/11 (64%)
Possession lost,74,85
Duels won,33,36
Aerials won,15,17
Tackles,8,5
Interceptions,3,3
Clearances,21,12
