name,home,away
Ball possession,59%,41%
Total shots,14,8
Shots on target,2,3
Shots off target,10,4
Blocked shots,2,1
Corner kicks,6,7
Offsides,1,0
Fouls,18,14
Yellow cards,4,2
Free kicks,14,18
Throw-ins,12,13
Goal kicks,8,9
Big chances,5,3
Big chances missed,3,1
Hit woodwork,1,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,9,4
Shots outside box,5,4
Goalkeeper saves,1,0
Passes,419,280
Accurate passes,365 (87%),223 (80%)
Long balls,23/41 (56%),19/33 (58%)
Crosses,4/15 (27%),3/16 (19%)
Dribbles,18/27 (67%),7/14 (50%)
Possession lost,94,99
Duels won,66,48
Aerials won,19,8
Tackles,15,15
Interceptions,8,7
Clearances,18,19
Ball possession,62%,38%
Total shots,6,4
Shots on target,1,1
Shots off target,5,2
Blocked shots,0,1
Corner kicks,2,3
Offsides,0,0
Yellow cards,1,0
Free kicks,8,11
Throw-ins,7,8
Goal kicks,4,6
Big chances,3,1
Big chances missed,2,0
Hit woodwork,0,0
Counter attacks,1,0
Counter attack shots,1,0
Shots inside box,4,1
Shots outside box,2,3
Goalkeeper saves,0,0
Passes,214,124
Accurate passes,187 (87%),96 (77%)
Long balls,11/15 (73%),8/18 (44%)
Crosses,1/6 (17%),1/8 (13%)
Dribbles,7/11 (64%),4/8 (50%)
Possession lost,47,53
Duels won,33,27
Aerials won,7,5
Tackles,11,7
Interceptions,3,6
Clearances,9,8
Ball possession,57%,43%
Total shots,8,4
Shots on target,1,2
Shots off target,5,2
Blocked shots,2,0
Corner kicks,4,4
Offsides,1,0
Yellow cards,3,2
Free kicks,6,7
Throw-ins,5,5
Goal kicks,4,3
Big chances,2,2
Big chances missed,1,1
Hit woodwork,1,0
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,5,3
Shots outside box,3,1
Goalkeeper saves,1,0
Passes,205,156
Accurate passes,178 (87%),127 (81%)
Long balls,12/26 (46%),11/15 (73%)
Crosses,3/9 (33%),2/8 (25%)
Dribbles,11/16 (69%),3/6 (50%)
Possession lost,47,46
Duels won,33,21
Aerials won,12,3
Tackles,4,8
Interceptions,5,1
Clearances,9,11
