name,home,away
Ball possession,48%,52%
Total shots,19,7
Shots on target,8,1
Shots off target,6,3
Blocked shots,5,3
Corner kicks,4,4
Offsides,0,1
Fouls,11,5
Yellow cards,3,1
Red cards,1,0
Free kicks,5,11
Throw-ins,15,16
Goal kicks,7,6
Big chances,2,0
Counter attacks,3,0
Counter attack shots,2,0
Counter attack goals,1,0
Shots inside box,12,2
Shots outside box,7,5
Goalkeeper saves,1,4
Passes,443,493
Accurate passes,374 (84%),421 (85%)
Long balls,40/69 (58%),22/42 (52%)
Crosses,6/15 (40%),4/12 (33%)
Dribbles,8/14 (57%),1/5 (20%)
Possession lost,109,103
Duels won,30,35
Aerials won,6,9
Tackles,11,14
Interceptions,7,8
Clearances,11,11
Ball possession,63%,37%
Total shots,13,2
Shots on target,4,0
Shots off target,4,2
Blocked shots,5,0
Corner kicks,4,1
Offsides,0,0
Yellow cards,2,1
Red cards,0,0
Free kicks,1,6
Throw-ins,10,7
Goal kicks,2,4
Big chances,0,0
Counter attacks,0,0
Counter attack shots,0,0
Counter attack goals,0,0
Shots inside box,8,2
Shots outside box,5,0
Goalkeeper saves,0,4
Passes,303,178
Accurate passes,269 (89%),144 (81%)
Long balls,21/30 (70%),8/21 (38%)
Crosses,6/14 (43%),2/3 (67%)
Dribbles,2/6 (33%),1/2 (50%)
Possession lost,62,48
Duels won,11,20
Aerials won,3,3
Tackles,5,10
Interceptions,4,7
Clearances,3,9
Ball possession,31%,69%
Total shots,6,5
Shots on target,4,1
Shots off target,2,1
Blocked shots,0,3
Corner kicks,0,3
Offsides,0,1
Yellow cards,1,0
Red cards,1,0
Free kicks,4,5
Throw-ins,5,9
Goal kicks,5,2
Big chances,2,0
Counter attacks,3,0
Counter attack shots,2,0
Counter attack goals,1,0
Shots inside box,4,0
Shots outside box,2,5
Goalkeeper saves,1,0
Passes,140,315
Accurate passes,105 (75%),277 (88%)
Long balls,19/39 (49%),14/21 (67%)
Crosses,0/1 (0%),2/9 (22%)
Dribbles,6/8 (75%),0/3 (0%)
Possession lost,47,55
Duels won,19,15
Aerials won,3,6
Tackles,6,4
Interceptions,3,1
Clearances,8,2
