name,home,away
Expected goals,1.50,1.60
Ball possession,52%,48%
Total shots,17,16
Shots on target,7,4
Shots off target,3,9
Blocked shots,7,3
Corner kicks,6,11
Offsides,1,2
Fouls,15,6
Free kicks,6,15
Throw-ins,14,14
Goal kicks,16,7
Big chances,2,3
Big chances missed,1,2
Shots inside box,11,10
Shots outside box,6,6
Goalkeeper saves,2,5
Passes,444,416
Accurate passes,373 (84%),356 (86%)
Long balls,24/57 (42%),32/54 (59%)
Crosses,5/25 (20%),5/26 (19%)
Dribbles,4/13 (31%),12/17 (71%)
Possession lost,117,119
Duels won,36,53
Aerials won,10,11
Tackles,16,15
Interceptions,12,15
Clearances,18,10
Ball possession,45%,55%
Total shots,8,7
Shots on target,5,1
Shots off target,1,5
Blocked shots,2,1
Corner kicks,3,6
Offsides,1,2
Free kicks,2,8
Throw-ins,6,8
Goal kicks,8,2
Big chances,2,0
Big chances missed,1,0
Shots inside box,6,3
Shots outside box,2,4
Goalkeeper saves,0,3
Passes,196,240
Accurate passes,160 (82%),213 (89%)
Long balls,14/31 (45%),19/26 (73%)
Crosses,3/10 (30%),1/12 (8%)
Dribbles,2/7 (29%),4/5 (80%)
Possession lost,57,53
Duels won,11,22
Aerials won,2,3
Tackles,5,7
Interceptions,9,6
Clearances,9,6
Ball possession,58%,42%
Total shots,9,9
Shots on target,2,3
Shots off target,2,4
Blocked shots,5,2
Corner kicks,3,5
Offsides,0,0
Free kicks,4,7
Throw-ins,8,6
Goal kicks,8,5
Big chances,0,3
Big chances missed,0,2
Shots inside box,5,7
Shots outside box,4,2
Goalkeeper saves,2,2
Passes,248,176
Accurate passes,213 (86%),143 (81%)
Long balls,10/26 (38%),13/28 (46%)
Crosses,2/15 (13%),4/14 (29%)
Dribbles,2/6 (33%),8/12 (67%)
Possession lost,60,66
Duels won,25,31
Aerials won,8,8
Tackles,11,8
Interceptions,3,9
Clearances,9,4
