name,home,away
Expected goals,1.40,1.89
Ball possession,59%,41%
Total shots,11,11
Shots on target,4,6
Shots off target,5,4
Blocked shots,2,1
Corner kicks,5,5
Offsides,1,5
Fouls,10,22
Yellow cards,2,1
Free kicks,22,10
Throw-ins,32,18
Goal kicks,4,8
Big chances,3,3
Big chances missed,1,2
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,7,7
Shots outside box,4,4
Goalkeeper saves,3,2
Passes,445,315
Accurate passes,335 (75%),206 (65%)
Long balls,20/66 (30%),27/80 (34%)
Crosses,6/21 (29%),9/18 (50%)
Dribbles,14/23 (61%),7/12 (58%)
Possession lost,167,149
Duels won,64,50
Aerials won,17,18
Tackles,11,16
Interceptions,10,19
Clearances,10,29
Ball possession,56%,44%
Total shots,7,6
Shots on target,3,4
Shots off target,2,2
Blocked shots,2,0
Corner kicks,4,3
Offsides,0,4
Yellow cards,2,0
Free kicks,8,4
Throw-ins,7,7
Goal kicks,2,3
Big chances,2,3
Big chances missed,1,2
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,5,4
Shots outside box,2,2
Goalkeeper saves,2,2
Passes,202,160
Accurate passes,154 (76%),116 (73%)
Long balls,8/27 (30%),15/34 (44%)
Crosses,3/11 (27%),5/10 (50%)
Dribbles,2/4 (50%),4/6 (67%)
Possession lost,68,65
Duels won,26,21
Aerials won,10,9
Tackles,6,4
Interceptions,6,12
Clearances,4,9
Ball possession,61%,39%
Total shots,4,5
Shots on target,1,2
Shots off target,3,2
Blocked shots,0,1
Corner kicks,1,2
Offsides,1,1
Yellow cards,0,1
Free kicks,14,6
Throw-ins,25,11
Goal kicks,2,5
Big chances,1,0
Big chances missed,0,0
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,2,3
Shots outside box,2,2
Goalkeeper saves,1,0
Passes,243,155
Accurate passes,181 (74%),90 (58%)
Long balls,12/39 (31%),12/46 (26%)
Crosses,3/10 (30%),4/8 (50%)
Dribbles,12/19 (63%),3/6 (50%)
Possession lost,99,84
Duels won,38,29
Aerials won,7,9
Tackles,5,12
Interceptions,4,7
Clearances,6,20
