name,home,away
Expected goals,2.70,0.78
Ball possession,70%,30%
Total shots,22,7
Shots on target,6,2
Shots off target,8,3
Blocked shots,8,2
Corner kicks,6,1
Offsides,2,3
Fouls,17,8
Yellow cards,1,1
Red cards,0,1
Free kicks,8,15
Throw-ins,11,13
Goal kicks,7,10
Big chances,3,1
Big chances missed,2,1
Hit woodwork,1,0
Shots inside box,12,2
Shots outside box,10,5
Goalkeeper saves,2,3
Passes,557,232
Accurate passes,483 (87%),175 (75%)
Long balls,24/35 (69%),28/60 (47%)
Crosses,6/20 (30%),1/8 (13%)
Dribbles,13/21 (62%),10/15 (67%)
Possession lost,116,104
Duels won,50,52
Aerials won,9,8
Tackles,20,20
Interceptions,6,18
Clearances,11,22
Ball possession,73%,27%
Total shots,11,3
Shots on target,4,1
Shots off target,5,1
Blocked shots,2,1
Corner kicks,4,1
Offsides,0,1
Yellow cards,0,0
Red cards,0,1
Free kicks,4,4
Throw-ins,7,7
Goal kicks,3,5
Big chances,2,1
Big chances missed,2,1
Hit woodwork,1,0
Shots inside box,9,2
Shots outside box,2,1
Goalkeeper saves,1,2
Passes,239,84
Accurate passes,198 (83%),60 (71%)
Long balls,14/20 (70%),14/27 (52%)
Crosses,4/13 (31%),1/4 (25%)
Dribbles,8/13 (62%),5/8 (63%)
Possession lost,62,46
Duels won,26,22
Aerials won,6,4
Tackles,8,9
Interceptions,0,10
Clearances,9,16
Ball possession,68%,32%
Total shots,11,4
Shots on target,2,1
Shots off target,3,2
Blocked shots,6,1
Corner kicks,2,0
Offsides,2,2
Yellow cards,1,1
Red cards,0,0
Free kicks,4,11
Throw-ins,4,6
Goal kicks,4,5
Big chances,1,0
Big chances missed,0,0
Hit woodwork,0,0
Shots inside box,3,0
Shots outside box,8,4
Goalkeeper saves,1,1
Passes,318,148
Accurate passes,285 (90%),115 (78%)
Long balls,10/15 (67%),14/33 (42%)
Crosses,2/7 (29%),0/4 (0%)
Dribbles,5/8 (63%),5/7 (71%)
Possession lost,54,58
Duels won,24,30
Aerials won,3,4
Tackles,12,11
Interceptions,6,8
Clearances,2,6
