name,home,away
Expected goals,1.05,0.64
Expected assists,0.73,0.49
Ball possession,51%,49%
Total shots,14,11
Shots on target,4,2
Shots off target,4,7
Blocked shots,6,2
Corner kicks,10,3
Offsides,2,2
Fouls,8,10
Yellow cards,1,1
Free kicks,8,8
Throw-ins,28,24
Goal kicks,12,7
Big chances,1,1
Big chances missed,1,1
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,9,4
Shots outside box,5,7
Goalkeeper saves,2,4
Goals prevented,1.00,0.42
Passes,399,399
Accurate passes,314 (79%),317 (79%)
Long balls,40/72 (56%),26/59 (44%)
Crosses,8/23 (35%),0/6 (0%)
Dribbles,8/12 (67%),8/12 (67%)
Possession lost,130,118
Duels won,34,37
Aerials won,11,14
Tackles,7,7
Interceptions,11,7
Clearances,17,26
Expected goals,0.49,0.52
Expected assists,0.33,0.42
Ball possession,49%,51%
Total shots,7,7
Shots on target,0,2
Shots off target,1,4
Blocked shots,6,1
Corner kicks,5,1
Offsides,0,1
Yellow cards,0,0
Free kicks,4,3
Throw-ins,11,14
Goal kicks,5,4
Big chances,0,1
Big chances missed,0,1
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,5,4
Shots outside box,2,3
Goalkeeper saves,2,0
Passes,204,223
Accurate passes,172 (84%),187 (84%)
Long balls,21/35 (60%),19/35 (54%)
Crosses,4/14 (29%),0/2 (0%)
Dribbles,4/5 (80%),5/5 (100%)
Possession lost,54,51
Duels won,15,12
Aerials won,5,2
Tackles,2,2
Interceptions,6,1
Clearances,8,12
Expected goals,0.56,0.12
Expected assists,0.39,0.07
Ball possession,53%,47%
Total shots,7,4
Shots on target,4,0
Shots off target,3,3
Blocked shots,0,1
Corner kicks,5,2
Offsides,2,1
Yellow cards,1,1
Free kicks,4,5
Throw-ins,17,10
Goal kicks,7,3
Big chances,1,0
Big chances missed,1,0
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,4,0
Shots outside box,3,4
Goalkeeper saves,0,4
Passes,195,176
Accurate passes,142 (73%),130 (74%)
Long balls,19/37 (51%),7/24 (29%)
Crosses,4/9 (44%),0/4 (0%)
Dribbles,4/7 (57%),3/7 (43%)
Possession lost,76,67
Duels won,19,25
Aerials won,6,12
Tackles,5,5
Interceptions,5,6
Clearances,9,14
