name,home,away
Ball possession,33%,67%
Total shots,7,11
Shots on target,3,3
Shots off target,2,4
Blocked shots,2,4
Corner kicks,4,7
Offsides,0,2
Fouls,14,7
Yellow cards,2,1
Free kicks,7,11
Throw-ins,25,28
Goal kicks,10,9
Big chances,3,0
Big chances missed,2,0
Hit woodwork,1,0
Shots inside box,6,6
Shots outside box,1,5
Goalkeeper saves,1,2
Passes,276,583
Accurate passes,194 (70%),486 (83%)
Long balls,28/61 (46%),37/67 (55%)
Crosses,7/27 (26%),7/25 (28%)
Dribbles,10/15 (67%),14/29 (48%)
Possession lost,137,160
Duels won,63,50
Aerials won,23,8
Tackles,23,17
Interceptions,12,5
Clearances,28,14
Ball possession,33%,67%
Total shots,2,5
Shots on target,1,1
Shots off target,1,2
Blocked shots,0,2
Corner kicks,2,5
Offsides,0,1
Yellow cards,1,1
Free kicks,6,5
Throw-ins,16,9
Goal kicks,4,2
Big chances,1,0
Big chances missed,1,0
Hit woodwork,1,0
Shots inside box,2,2
Shots outside box,0,3
Goalkeeper saves,1,1
Passes,141,308
Accurate passes,109 (77%),265 (86%)
Long balls,14/25 (56%),15/28 (54%)
Crosses,5/17 (29%),3/10 (30%)
Dribbles,6/9 (67%),7/13 (54%)
Possession lost,61,68
Duels won,32,26
Aerials won,10,5
Tackles,10,9
Interceptions,7,4
Clearances,11,6
Ball possession,33%,67%
Total shots,5,6
Shots on target,2,2
Shots off target,1,2
Blocked shots,2,2
Corner kicks,2,2
Offsides,0,1
Yellow cards,1,0
Free kicks,1,6
Throw-ins,9,19
Goal kicks,6,7
Big chances,2,0
Big chances missed,1,0
Hit woodwork,0,0
Shots inside box,4,4
Shots outside box,1,2
Goalkeeper saves,0,1
Passes,135,275
Accurate passes,85 (63%),221 (80%)
Long balls,14/36 (39%),22/39 (56%)
Crosses,2/10 (20%),4/15 (27%)
Dribbles,4/6 (67%),7/16 (44%)
Possession lost,76,92
Duels won,31,24
Aerials won,13,3
Tackles,13,8
Interceptions,5,1
Clearances,17,8
