name,home,away
Ball possession,70%,30%
Total shots,17,12
Shots on target,6,7
Shots off target,6,1
Blocked shots,5,4
Corner kicks,1,6
Offsides,0,5
Fouls,9,15
Yellow cards,1,3
Free kicks,15,9
Throw-ins,35,34
Goal kicks,3,11
Big chances,2,5
Big chances missed,2,2
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,12,8
Shots outside box,5,4
Goalkeeper saves,3,6
Passes,490,209
Accurate passes,392 (80%),118 (56%)
Long balls,50/77 (65%),11/54 (20%)
Crosses,3/16 (19%),4/15 (27%)
Dribbles,10/20 (50%),12/22 (55%)
Possession lost,156,155
Duels won,61,49
Aerials won,20,8
Tackles,16,19
Interceptions,9,16
Clearances,21,14
Ball possession,66%,34%
Total shots,10,8
Shots on target,5,5
Shots off target,2,0
Blocked shots,3,3
Corner kicks,1,6
Offsides,0,5
Yellow cards,0,2
Free kicks,7,5
Throw-ins,11,15
Goal kicks,2,4
Big chances,1,3
Big chances missed,1,1
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,8,5
Shots outside box,2,3
Goalkeeper saves,2,5
Passes,208,98
Accurate passes,163 (78%),54 (55%)
Long balls,24/36 (67%),3/25 (12%)
Crosses,3/10 (30%),4/14 (29%)
Dribbles,6/10 (60%),5/7 (71%)
Possession lost,69,78
Duels won,27,20
Aerials won,9,4
Tackles,5,6
Interceptions,6,8
Clearances,17,7
Ball possession,72%,28%
Total shots,7,4
Shots on target,1,2
Shots off target,4,1
Blocked shots,2,1
Corner kicks,0,0
Offsides,0,0
Yellow cards,1,1
Free kicks,8,4
Throw-ins,24,19
Goal kicks,1,7
Big chances,1,2
Big chances missed,1,1
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,4,3
Shots outside box,3,1
Goalkeeper saves,1,1
Passes,282,111
Accurate passes,229 (81%),64 (58%)
Long balls,26/41 (63%),8/29 (28%)
Crosses,0/6 (0%),0/1 (0%)
Dribbles,4/10 (40%),7/15 (47%)
Possession lost,87,77
Duels won,34,29
Aerials won,11,4
Tackles,11,13
Interceptions,3,8
Clearances,4,7
