name,home,away
Ball possession,50%,50%
Total shots,17,11
Shots on target,7,3
Shots off target,9,3
Blocked shots,1,5
Corner kicks,8,3
Offsides,2,2
Fouls,18,16
Yellow cards,4,2
Red cards,1,0
Free kicks,13,18
Throw-ins,28,19
Goal kicks,7,15
Big chances,0,2
Big chances missed,0,2
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,13,3
Shots outside box,4,8
Goalkeeper saves,2,7
Passes,366,379
Accurate passes,278 (76%),271 (72%)
Long balls,25/66 (38%),40/94 (43%)
Crosses,7/17 (41%),3/7 (43%)
Dribbles,5/11 (45%),10/23 (43%)
Possession lost,142,154
Duels won,57,61
Aerials won,20,19
Tackles,19,14
Interceptions,14,14
Clearances,4,12
Ball possession,49%,51%
Total shots,7,6
Shots on target,3,2
Shots off target,4,1
Blocked shots,0,3
Corner kicks,2,0
Offsides,1,2
Yellow cards,1,0
Red cards,0,0
Free kicks,6,10
Throw-ins,18,11
Goal kicks,4,7
Big chances,0,1
Big chances missed,0,1
Counter attacks,0,0
Counter attack shots,0,0
Shots inside box,4,1
Shots outside box,3,5
Goalkeeper saves,2,3
Passes,209,225
Accurate passes,169 (81%),171 (76%)
Long balls,14/32 (44%),17/42 (40%)
Crosses,2/5 (40%),1/2 (50%)
Dribbles,3/6 (50%),6/12 (50%)
Possession lost,63,76
Duels won,25,25
Aerials won,6,4
Tackles,10,5
Interceptions,8,7
Clearances,1,4
Ball possession,52%,48%
Total shots,10,5
Shots on target,4,1
Shots off target,5,2
Blocked shots,1,2
Corner kicks,6,3
Offsides,1,0
Yellow cards,3,2
Red cards,1,0
Free kicks,7,8
Throw-ins,10,8
Goal kicks,3,8
Big chances,0,1
Big chances missed,0,1
Counter attacks,0,1
Counter attack shots,0,1
Shots inside box,9,2
Shots outside box,1,3
Goalkeeper saves,0,4
Passes,157,154
Accurate passes,109 (69%),100 (65%)
Long balls,11/34 (32%),23/52 (44%)
Crosses,5/12 (42%),2/5 (40%)
Dribbles,2/5 (40%),4/11 (36%)
Possession lost,79,78
Duels won,32,36
Aerials won,14,15
Tackles,9,9
Interceptions,6,7
Clearances,3,8
