name,home,away
Expected goals,1.75,0.26
Ball possession,59%,41%
Total shots,22,6
Shots on target,10,0
Shots off target,3,5
Blocked shots,9,1
Corner kicks,8,3
Offsides,0,4
Fouls,4,9
Yellow cards,0,2
Free kicks,9,4
Throw-ins,17,14
Goal kicks,8,7
Big chances,1,0
Big chances missed,1,0
Counter attacks,3,0
Counter attack shots,2,0
Counter attack goals,1,0
Shots inside box,15,2
Shots outside box,7,4
Goalkeeper saves,0,8
Passes,463,327
Accurate passes,365 (79%),229 (70%)
Long balls,27/60 (45%),20/66 (30%)
Crosses,4/21 (19%),3/8 (38%)
Dribbles,5/10 (50%),1/2 (50%)
Possession lost,143,137
Duels won,38,23
Aerials won,12,11
Tackles,12,7
Interceptions,10,9
Clearances,5,21
Ball possession,61%,39%
Total shots,13,3
Shots on target,6,0
Shots off target,2,3
Blocked shots,5,0
Corner kicks,5,0
Offsides,0,2
Yellow cards,0,2
Free kicks,7,1
Throw-ins,12,4
Goal kicks,5,6
Big chances,1,0
Big chances missed,1,0
Counter attacks,2,0
Counter attack shots,1,0
Counter attack goals,1,0
Shots inside box,9,1
Shots outside box,4,2
Goalkeeper saves,0,5
Passes,230,160
Accurate passes,177 (77%),107 (67%)
Long balls,15/31 (48%),9/37 (24%)
Crosses,4/14 (29%),0/2 (0%)
Dribbles,1/5 (20%),1/2 (50%)
Possession lost,79,73
Duels won,20,12
Aerials won,6,6
Tackles,6,4
Interceptions,3,6
Clearances,0,11
Ball possession,58%,42%
Total shots,9,3
Shots on target,4,0
Shots off target,1,2
Blocked shots,4,1
Corner kicks,3,3
Offsides,0,2
Yellow cards,0,0
Free kicks,2,3
Throw-ins,5,10
Goal kicks,3,1
Big chances,0,0
Big chances missed,0,0
Counter attacks,1,0
Counter attack shots,1,0
Counter attack goals,0,0
Shots inside box,6,1
Shots outside box,3,2
Goalkeeper saves,0,3
Passes,233,167
Accurate passes,188 (81%),122 (73%)
Long balls,12/29 (41%),11/29 (38%)
Crosses,0/7 (0%),3/6 (50%)
Dribbles,4/5 (80%),0/0 (0%)
Possession lost,64,64
Duels won,18,11
Aerials won,6,5
Tackles,6,3
Interceptions,7,3
Clearances,5,10
