name,home,away
Expected goals,0.97,1.47
Ball possession,63%,37%
Total shots,14,10
Shots on target,4,3
Shots off target,6,7
Blocked shots,4,0
Corner kicks,9,5
Offsides,2,1
Fouls,8,16
Yellow cards,2,1
Free kicks,15,8
Throw-ins,18,10
Goal kicks,8,10
Big chances,1,5
Big chances missed,1,3
Hit woodwork,0,1
Shots inside box,9,7
Shots outside box,5,3
Goalkeeper saves,1,4
Passes,612,368
Accurate passes,544 (89%),293 (80%)
Long balls,37/55 (67%),36/77 (47%)
Crosses,9/36 (25%),3/12 (25%)
Dribbles,5/11 (45%),9/13 (69%)
Possession lost,126,108
Duels won,46,42
Aerials won,16,12
Tackles,10,13
Interceptions,6,7
Clearances,11,30
Ball possession,62%,38%
Total shots,2,6
Shots on target,0,2
Shots off target,1,4
Blocked shots,1,0
Corner kicks,2,3
Offsides,1,1
Yellow cards,1,1
Free kicks,11,3
Throw-ins,9,5
Goal kicks,5,6
Big chances,0,3
Big chances missed,0,1
Hit woodwork,0,0
Shots inside box,2,4
Shots outside box,0,2
Goalkeeper saves,0,0
Passes,314,194
Accurate passes,276 (88%),157 (81%)
Long balls,21/31 (68%),15/34 (44%)
Crosses,4/15 (27%),2/6 (33%)
Dribbles,3/6 (50%),6/7 (86%)
Possession lost,65,52
Duels won,26,22
Aerials won,8,4
Tackles,4,9
Interceptions,4,3
Clearances,8,12
Ball possession,64%,36%
Total shots,12,4
Shots on target,4,1
Shots off target,5,3
Blocked shots,3,0
Corner kicks,7,2
Offsides,1,0
Yellow cards,1,0
Free kicks,4,5
Throw-ins,9,5
Goal kicks,3,4
Big chances,1,2
Big chances missed,1,2
Hit woodwork,0,1
Shots inside box,7,3
Shots outside box,5,1
Goalkeeper saves,1,4
Passes,298,174
Accurate passes,268 (90%),136 (78%)
Long balls,16/24 (67%),21/43 (49%)
Crosses,5/21 (24%),1/6 (17%)
Dribbles,2/5 (40%),3/6 (50%)
Possession lost,61,56
Duels won,20,20
Aerials won,8,8
Tackles,6,4
Interceptions,2,4
Clearances,3,18
