name,home,away
Ball possession,34%,66%
Total shots,6,9
Shots on target,3,5
Shots off target,2,3
Blocked shots,1,1
Corner kicks,0,3
Offsides,1,1
Fouls,14,7
Yellow cards,2,1
Free kicks,6,14
Throw-ins,9,22
Goal kicks,5,4
Big chances,1,0
Shots inside box,4,3
Shots outside box,2,6
Goalkeeper saves,4,2
Passes,402,774
Accurate passes,302 (75%),659 (85%)
Long balls,23/72 (32%),40/62 (65%)
Crosses,4/8 (50%),6/16 (38%)
Dribbles,4/6 (67%),14/25 (56%)
Possession lost,129,157
Duels won,38,64
Aerials won,11,27
Tackles,17,9
Interceptions,8,7
Clearances,24,7
Ball possession,40%,60%
Total shots,3,5
Shots on target,2,2
Shots off target,0,2
Blocked shots,1,1
Corner kicks,0,0
Offsides,1,0
Yellow cards,1,0
Free kicks,5,8
Throw-ins,5,8
Goal kicks,3,2
Big chances,1,0
Shots inside box,3,1
Shots outside box,0,4
Goalkeeper saves,2,1
Passes,253,375
Accurate passes,200 (79%),321 (86%)
Long balls,13/38 (34%),12/21 (57%)
Crosses,2/2 (100%),0/4 (0%)
Dribbles,1/1 (100%),4/6 (67%)
Possession lost,65,70
Duels won,15,27
Aerials won,4,11
Tackles,5,4
Interceptions,5,2
Clearances,6,0
Ball possession,28%,72%
Total shots,3,4
Shots on target,1,3
Shots off target,2,1
Blocked shots,0,0
Corner kicks,0,3
Offsides,0,1
Yellow cards,1,1
Free kicks,1,6
Throw-ins,4,14
Goal kicks,2,2
Big chances,0,0
Shots inside box,1,2
Shots outside box,2,2
Goalkeeper saves,2,1
Passes,149,399
Accurate passes,102 (68%),338 (85%)
Long balls,10/34 (29%),28/41 (68%)
Crosses,2/6 (33%),6/12 (50%)
Dribbles,3/5 (60%),10/19 (53%)
Possession lost,64,87
Duels won,23,37
Aerials won,7,16
Tackles,12,5
Interceptions,3,5
Clearances,18,7
