name,home,away
Ball possession,49%,51%
Total shots,10,11
Shots on target,3,2
Shots off target,4,5
Blocked shots,3,4
Corner kicks,7,5
Offsides,2,1
Fouls,13,15
Yellow cards,1,2
Free kicks,15,13
Throw-ins,22,31
Goal kicks,8,10
Shots inside box,4,7
Shots outside box,6,4
Goalkeeper saves,2,1
Passes,403,424
Accurate passes,292 (72%),322 (76%)
Long balls,40/89 (45%),36/82 (44%)
Crosses,2/16 (13%),3/15 (20%)
Dribbles,6/7 (86%),11/19 (58%)
Possession lost,169,151
Duels won,48,58
Aerials won,15,20
Tackles,12,14
Interceptions,9,17
Clearances,12,11
Ball possession,46%,54%
Total shots,3,7
Shots on target,0,1
Shots off target,2,2
Blocked shots,1,4
Corner kicks,5,3
Offsides,0,0
Yellow cards,0,0
Free kicks,8,6
Throw-ins,9,15
Goal kicks,1,5
Shots inside box,2,6
Shots outside box,1,1
Goalkeeper saves,1,0
Passes,210,248
Accurate passes,153 (73%),196 (79%)
Long balls,18/40 (45%),24/46 (52%)
Crosses,1/9 (11%),2/7 (29%)
Dribbles,5/6 (83%),8/12 (67%)
Possession lost,84,75
Duels won,25,34
Aerials won,7,13
Tackles,5,7
Interceptions,5,9
Clearances,7,8
Ball possession,52%,48%
Total shots,7,4
Shots on target,3,1
Shots off target,2,3
Blocked shots,2,0
Corner kicks,2,2
Offsides,2,1
Yellow cards,1,2
Free kicks,7,7
Throw-ins,13,16
Goal kicks,7,5
Shots inside box,2,1
Shots outside box,5,3
Goalkeeper saves,1,1
Passes,193,176
Accurate passes,139 (72%),126 (72%)
Long balls,22/49 (45%),12/36 (33%)
Crosses,1/7 (14%),1/8 (13%)
Dribbles,1/1 (100%),3/7 (43%)
Possession lost,85,76
Duels won,23,24
Aerials won,8,7
Tackles,7,7
Interceptions,4,8
Clearances,5,3
