name,home,away
Ball possession,54%,46%
Total shots,11,5
Shots on target,3,2
Shots off target,5,1
Blocked shots,3,2
Corner kicks,4,2
Offsides,2,1
Fouls,17,11
Yellow cards,3,1
Free kicks,10,16
Throw-ins,19,19
Goal kicks,10,5
Big chances,1,0
Hit woodwork,1,0
Shots inside box,5,1
Shots outside box,6,4
Goalkeeper saves,2,2
Passes,482,412
Accurate passes,415 (86%),343 (83%)
Long balls,17/40 (43%),30/56 (54%)
Crosses,3/8 (38%),0/9 (0%)
Dribbles,9/14 (64%),12/17 (71%)
Possession lost,97,100
Duels won,28,42
Aerials won,3,3
Tackles,6,11
Interceptions,9,10
Clearances,12,14
Ball possession,53%,47%
Total shots,5,1
Shots on target,2,0
Shots off target,2,0
Blocked shots,1,1
Corner kicks,2,1
Offsides,2,0
Yellow cards,0,0
Free kicks,4,8
Throw-ins,12,9
Goal kicks,4,3
Big chances,0,0
Hit woodwork,0,0
Shots inside box,1,1
Shots outside box,4,0
Goalkeeper saves,0,2
Passes,241,212
Accurate passes,212 (88%),176 (83%)
Long balls,5/17 (29%),14/30 (47%)
Crosses,1/4 (25%),0/5 (0%)
Dribbles,7/10 (70%),3/4 (75%)
Possession lost,47,49
Duels won,12,18
Aerials won,0,1
Tackles,1,6
Interceptions,5,4
Clearances,4,7
Ball possession,55%,45%
Total shots,6,4
Shots on target,1,2
Shots off target,3,1
Blocked shots,2,1
Corner kicks,2,1
Offsides,0,1
Yellow cards,3,1
Free kicks,6,8
Throw-ins,7,10
Goal kicks,6,2
Big chances,1,0
Hit woodwork,1,0
Shots inside box,4,0
Shots outside box,2,4
Goalkeeper saves,2,0
Passes,241,200
Accurate passes,203 (84%),167 (84%)
Long balls,12/23 (52%),16/26 (62%)
Crosses,2/4 (50%),0/4 (0%)
Dribbles,2/4 (50%),9/13 (69%)
Possession lost,50,51
Duels won,16,24
Aerials won,3,2
Tackles,5,5
Interceptions,4,6
Clearances,8,7
