shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,captain,statistics.goalAssist,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.keyPass,statistics.aerialWon,statistics.onTargetScoringAttempt,statistics.goals,statistics.aerialLost,statistics.wasFouled,statistics.fouls,statistics.totalOffside,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.blockedScoringAttempt,team,player_type,statistics.outfielderBlock
16,16,F,False,Diana Silva,,,silva-diana,D. Silva,F,97,181011,PT,Portugal,EUR,802224000,19.0,10.0,,,,,,79.0,30.0,6.4,18.0,6.4,6.3,,,2.0,,6.0,1.0,1.0,1.0,,,,,,1.0,,,,,3.0,,1.0,,,,,away,main,
20,20,F,True,Francisca Nazareth,,,francisca-nazareth,F. Nazareth,M,277,1136047,PT,Portugal,EUR,1037491200,14.0,8.0,2.0,1.0,,,,22.0,23.0,6.9,9.0,6.9,6.8,,,,,2.0,4.0,,2.0,,,,1.0,1.0,4.0,,,,,,,,,,,,away,substitute,
3,3,D,True,Lúcia Alves,Lúcia,Alves,lucia-alves,L. Alves,D,80,1135263,PT,Portugal,EUR,877478400,2.0,1.0,1.0,,,,,12.0,10.0,7.0,2.0,7.0,6.8,,,,,2.0,4.0,1.0,1.0,,,,,,3.0,,,,,,1.0,,,,,,away,substitute,1.0
6,6,M,True,Andreia Jacinto,,,jacinto-andreia,A. Jacinto,M,44,1022569,PT,Portugal,EUR,1023494400,1.0,1.0,,,,,,11.0,2.0,6.5,1.0,6.5,6.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
23,23,F,True,Telma Encarnação,,,telma-encarnacao,T. Encarnação,F,41,963163,PT,Portugal,EUR,1002758400,4.0,1.0,,,,,,11.0,8.0,6.9,4.0,6.9,6.8,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,away,substitute,
12,12,G,True,Patricia Morais,,,patricia-morais,P. Morais,G,39,863078,PT,Portugal,EUR,708739200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
22,22,G,True,Rute Costa,,,rute-costa,R. Costa,G,62,886470,PT,Portugal,EUR,770428800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
17,17,D,True,Ana Rita Seiça,,,ana-rita-seica,A. R. Seiça,D,37,1088413,PT,Portugal,EUR,985478400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
4,4,D,True,Silvia Rebelo,,,silvia-rebelo,S. Rebelo,D,46,863066,PT,Portugal,EUR,611625600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
5,5,D,True,Joana Marchão,,,joana-marchao,J. Marchão,D,82,229015,PT,Portugal,EUR,846115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
7,7,M,True,Ana Rute,Ana Rute,,ana-rute,A. Rute,M,6,1500520,,,EUR,886032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
21,21,F,True,Ana Capeta,,,ana-capeta,A. Capeta,F,45,923526,PT,Portugal,EUR,882748800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
18,18,F,True,Carolina Mendes,,,carolina-mendes,C. Mendes,F,35,72556,PT,Portugal,EUR,564969600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
