averageX,averageY,pointsCount,player_name,player_slug,player_shortName,player_position,player_userCount,player_id,player_firstName,player_lastName,team
55.366666666667,88.333333333333,6,Taylor Washington,taylor-washington,T. Washington,D,12,829661,,,home
37.29,59.85125,80,Lukas MacNaughton,lukas-macnaughton,L. MacNaughton,D,37,984486,,,home
49.024324324324,34.391891891892,37,Alex Muyl,alex-muyl,A. Muyl,M,31,829568,,,home
48.877142857143,47.785714285714,35,Aníbal Godoy,anibal-godoy,A. Godoy,M,140,156102,,,home
33.183333333333,45.804166666667,24,Walker Zimmerman,zimmerman-walker,W. Zimmerman,D,404,1125090,,,home
54.181632653061,33.04693877551,49,Randall Leal,randall-leal,R. Leal,M,230,791003,,,home
47.154545454545,29.377272727273,22,Fafà Picault,fafa-picault,F. Picault,M,383,787689,,,home
32.054716981132,33.677358490566,53,Josh Bauer,josh-bauer,J. Bauer,D,10,1049597,Josh Bauer,,home
48.06231884058,18.707246376812,69,Shaq Moore,shaq-moore,S. Moore,D,157,813511,,,home
43.0,67.138461538462,39,Sean Davis,sean-davis,S. Davis,M,51,790148,,,home
55.827777777778,42.919444444444,36,Teal Bunbury,teal-bunbury,T. Bunbury,F,76,111293,,,home
68.430952380952,70.290476190476,42,Jacob Shaffelburg,shaffelburg-jacob,J. Shaffelburg,M,123,976313,,,home
10.4575,51.0725,40,Joe Willis,joe-willis,J. Willis,G,89,150047,,,home
69.244444444444,61.492592592593,27,Hany Mukhtar,hany-mukhtar,H. Mukhtar,F,1084,221350,,,home
44.139189189189,45.62972972973,74,Dax McCarty,dax-mccarty,D. McCarty,M,39,38531,,,home
43.420689655172,83.906896551724,87,Daniel Lovitz,daniel-lovitz,D. Lovitz,D,55,558698,,,home
70.415384615385,49.253846153846,13,Kevin Cabral,kevin-cabral,K. Cabral,F,201,958128,,,away
55.883333333333,22.04,60,Braian Galván,braian-galvan,B. Galván,M,76,896247,,,away
63.95,51.55,4,Sam Nicholson,sam-nicholson,S. Nicholson,M,15,269183,,,away
60.682432432432,83.368918918919,74,Andrew Gutman,andrew-gutman,A. Gutman,D,49,983770,,,away
57.602857142857,56.825714285714,70,Cole Bassett,cole-bassett,C. Bassett,M,269,945420,,,away
65.218518518519,49.114814814815,27,Calvin Harris,calvin-harris,C. Harris,F,46,1108955,Calvin Harris,,away
28.574576271186,39.262711864407,59,Andreas Maxsø,andreas-maxso,A. Maxsø,D,122,287941,,,away
57.770967741935,61.958064516129,31,Darren Yapi,darren-yapi,D. Yapi,F,104,1047550,Darren Yapi,,away
40.353333333333,62.893333333333,15,Bryan Acosta,bryan-acosta,B. Acosta,M,224,797162,,,away
43.966216216216,15.774324324324,74,Keegan Rosenberry,keegan-rosenberry,K. Rosenberry,D,61,829556,,,away
80.583333333333,65.041666666667,12,Michael Barrios,michael-barrios,M. Barrios,F,141,791545,,,away
8.5354166666667,48.470833333333,48,William Yarbrough,william-yarbrough,W. Yarbrough,G,83,246097,,,away
35.535,13.755,20,Moise Bombito,bombito-moise,M. Bombito,D,41,1469180,Moise Bombito,,away
45.411627906977,55.290697674419,43,Ralph Priso,ralph-priso,R. Priso,M,67,1002266,,,away
34.187179487179,74.071794871795,78,Danny Wilson,danny-wilson,D. Wilson,D,53,49245,,,away
50.03125,49.76625,80,Connor Ronan,connor-ronan,C. Ronan,M,159,989122,,,away
