shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.totalContest,statistics.shotOffTarget,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.expectedAssists,statistics.aerialWon,player.firstName,player.lastName,statistics.aerialLost,statistics.outfielderBlock,statistics.accurateCross,statistics.wonContest,statistics.dispossessed,statistics.onTargetScoringAttempt,statistics.goalAssist,statistics.bigChanceCreated,statistics.blockedScoringAttempt,statistics.hitWoodwork,statistics.goals,team,player_type,statistics.totalOffside,statistics.bigChanceMissed
31,31,D,True,,Facundo Agüero,facundo-aguero,F. Agüero,D,16,895234,AR,Argentina,EUR,790646400,3.0,2.0,1.0,1.0,,,,,11.0,3.0,6.3,1.0,0.0,6.3,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
21,21,G,True,,Valentino Quintero,valentino-quintero,V. Quintero,G,38,1117120,AR,Argentina,EUR,1050278400,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Valentino Quintero,,,,,,,,,,,,,home,substitute,,
26,26,D,True,,Ismael Cortez,ismael-cortez,I. Cortez,D,22,1194768,AR,Argentina,EUR,961977600,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
37,37,D,True,,Kevin Silva,kevin-silva,K. Silva,D,10,1117067,AR,Argentina,EUR,1050451200,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Kevin Silva,,,,,,,,,,,,,home,substitute,,
27,27,D,True,,Lucas Rodríguez,lucas-rodriguez,L. Rodríguez,D,10,146982,AR,Argentina,EUR,749088000,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
32,32,M,True,,Carlos Campos,carlos-campos,C. Campos,M,0,1514753,AR,Argentina,EUR,1054512000,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Carlos Campos,,,,,,,,,,,,,home,substitute,,
18,18,M,True,,Francesco Lo Celso,francesco-lo-celso,F. L. Celso,M,78,989850,AR,Argentina,EUR,952214400,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
29,29,F,True,,Luca Martínez Dupuy,luca-martinez-dupuy,L. M. Dupuy,F,336,1087100,MX,Mexico,EUR,991699200,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Luca Martinez Dupuy,,,,,,,,,,,,,home,substitute,,
25,25,F,True,,Juan Cruz Cerrudo,juan-cruz-cerrudo,J. C. Cerrudo,F,21,1117056,AR,Argentina,EUR,1074556800,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Juan Cruz Cerrudo,,,,,,,,,,,,,home,substitute,,
33,33,G,False,,Ezequiel Centurión,ezequiel-centurion,E. Centurión,G,121,876134,AR,Argentina,EUR,864086400,29.0,25.0,11.0,7.0,2.0,2.0,1.0,1.0,90.0,39.0,6.1,4.0,0.0,6.1,6.5,-0.7361,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,away,main,,
