shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,player.firstName,player.lastName,statistics.totalCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.shotOffTarget,statistics.totalTackle,statistics.fouls,statistics.expectedAssists,statistics.totalContest,statistics.totalClearance,statistics.outfielderBlock,statistics.interceptionWon,statistics.blockedScoringAttempt,statistics.wasFouled,statistics.accurateCross,statistics.wonContest,statistics.onTargetScoringAttempt,statistics.dispossessed,statistics.keyPass,statistics.hitWoodwork,team,player_type,statistics.punches,statistics.lastManTackle,statistics.errorLeadToAShot,statistics.totalOffside
11,11,M,False,,Wanderson,wanderson,Wanderson,M,573,247483,BR,Brazil,EUR,781488000,26.0,17.0,3.0,1.0,,,,,,90.0,50.0,7.0,17.0,0.2299,7.0,7.2,,,,1.0,1.0,2.0,7.0,7.0,,1.0,2.0,2.0,0.0686974,5.0,2.0,,1.0,,2.0,,1.0,2.0,,1.0,,away,main,,,,
13,13,F,False,,Enner Valencia,enner-valencia,Enner Valencia,F,6445,106456,EC,Ecuador,EUR,626140800,11.0,6.0,1.0,1.0,,,,,,90.0,40.0,7.1,16.0,0.4491,7.1,7.4,,,,,4.0,2.0,8.0,6.0,1.0,1.0,2.0,1.0,0.0843387,1.0,3.0,1.0,,3.0,2.0,,,2.0,2.0,1.0,1.0,away,main,,,,2.0
17,17,M,True,,Campanharo,campanharo,Campanharo,M,180,220094,BR,Brazil,EUR,702345600,2.0,1.0,,,,,,,,12.0,11.0,6.8,2.0,0.0,6.8,6.7,,,,,1.0,1.0,2.0,3.0,,,2.0,,,1.0,2.0,,,,,,,,,,,away,substitute,,,,
41,41,M,True,,Matheus Dias,dias-matheus,Matheus Dias,M,96,1020610,BR,Brazil,EUR,1020902400,3.0,2.0,,,,,,,,12.0,8.0,6.2,4.0,0.0,6.2,6.3,,,,1.0,2.0,1.0,4.0,1.0,1.0,,,1.0,0.00834985,1.0,2.0,,,,,,,,,,,away,substitute,,,,
31,31,G,True,,John,john,John,G,215,840103,BR,Brazil,EUR,824169600,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
1,1,G,True,,Keiller,keiller,Keiller,G,161,840082,BR,Brazil,EUR,846547200,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
36,36,D,True,,Thauan Lara,thauan-lara,Thauan Lara,D,136,1116956,BR,Brazil,EUR,1074729600,,,,,,,,,,,,,,0.0,,,,Thauan Lara,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
21,21,D,True,,Igor Gomes,igor-gomes,I. Gomes,D,218,997023,BR,Brazil,EUR,983836800,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
26,26,M,True,,Estêvão,estevao,Estêvão,M,89,1116660,BR,Brazil,EUR,1012694400,,,,,,,,,,,,,,0.0,,,,Estêvão,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
40,40,M,True,,Rômulo,romulo,Rômulo,M,117,989384,BR,Brazil,EUR,951868800,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
23,23,M,True,,Gabriel,gabriel,Gabriel,M,388,242052,BR,Brazil,EUR,710726400,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
38,38,F,True,,Jean Dias,jean-dias,J. Dias,M,40,1047201,BR,Brazil,EUR,656553600,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
42,42,F,True,,Gabriel Barros,barros-gabriel,G. Barros,F,126,1020259,BR,Brazil,EUR,1003968000,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
45,45,F,True,,Lucca,lucca,L. Holanda,F,108,1199435,BR,Brazil,EUR,1049241600,,,,,,,,,,,,,,0.0,,,,Lucca,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
