customId,winnerCode,hasGlobalHighlights,detailId,crowdsourcingDataDisplayEnabled,id,previousLegEventId,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.aggregated,awayScore.aggregated,changes.changes,changes.changeTimestamp,awayTeam.disabled,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime
fhcsuic,0,False,4.0,False,11458124,11458103.0,1691078400,fc-torpedo-kutaisi-fk-aktobe,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,"{'name': 'Football', 'slug': 'football', 'id': 1}",1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,#04be15,"{'name': 'Europe', 'slug': 'europe', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1465, 'flag': 'europe'}",247243,17015,True,False,False,False,513,93604,2,Qualification round 2,qualification-round-2,0,Not started,notstarted,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,[],#ffffff,#000000,#000000,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,[],#ffffff,#000000,#000000,0.0,0.0,"['homeScore.aggregated', 'awayScore.aggregated']",1689927200,,,,,,,,,,,
fhcsuic,0,False,4.0,False,11458103,,1690477200,fc-torpedo-kutaisi-fk-aktobe,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,"{'name': 'Football', 'slug': 'football', 'id': 1}",1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,#04be15,"{'name': 'Europe', 'slug': 'europe', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1465, 'flag': 'europe'}",247243,17015,True,False,False,False,513,93604,2,Qualification round 2,qualification-round-2,0,Not started,notstarted,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,,False,0,5419,[],#ffffff,#000000,#000000,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,[],#ffffff,#000000,#000000,,,,0,False,,,,,,,,,,
fhcsuic,1,False,,False,2776760,,1342105200,fc-torpedo-kutaisi-fk-aktobe,False,"UEFA Europa League, Qualification",uefa-europa-league-qualification,Europe,europe,"{'name': 'Football', 'slug': 'football', 'id': 1}",1465,europe,UEFA Europa League,uefa-europa-league,#f37d25,"{'name': 'Europe', 'slug': 'europe', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1465, 'flag': 'europe'}",576791,679,True,False,False,False,529,10910,14,Qualification round 1,qualification-round-1,100,Ended,finished,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,False,0,5355,[],#ffffff,#000000,#000000,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,False,0,5419,[],#ffffff,#000000,#000000,,,,0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
fhcsuic,3,False,,False,2776578,,1341507600,fc-torpedo-kutaisi-fk-aktobe,False,"UEFA Europa League, Qualification",uefa-europa-league-qualification,Europe,europe,"{'name': 'Football', 'slug': 'football', 'id': 1}",1465,europe,UEFA Europa League,uefa-europa-league,#f37d25,"{'name': 'Europe', 'slug': 'europe', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1465, 'flag': 'europe'}",576791,679,True,False,False,False,529,10910,14,Qualification round 1,qualification-round-1,100,Ended,finished,FC Torpedo Kutaisi,fc-torpedo-kutaisi,Torpedo Kutaisi,M,Football,football,1,2528,TKU,,False,0,5419,[],#ffffff,#000000,#000000,FK Aktobe,fk-aktobe,Aktobe,M,Football,football,1,4519,AKT,False,0,5355,[],#ffffff,#000000,#000000,,,,0,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
